subjects,items,type,ans
1,1,none,0
2,1,none,0
3,1,none,0
4,1,none,0
6,1,none,0
7,1,none,0
8,1,none,0
9,1,none,0
10,1,none,0
11,1,none,0
12,1,none,0
13,1,none,0
15,1,none,0
18,1,none,0
19,1,none,0
20,1,none,0
22,1,none,0
23,1,none,0
24,1,none,0
25,1,none,0
26,1,none,0
27,1,none,0
28,1,none,0
29,1,none,0
30,1,none,0
31,1,none,0
32,1,none,0
33,1,none,0
35,1,none,0
1,2,none,0
2,2,none,0
3,2,none,0
4,2,none,0
6,2,none,0
7,2,none,0
8,2,none,0
9,2,none,0
10,2,none,0
11,2,none,0
12,2,none,0
13,2,none,0
15,2,none,0
16,2,none,0
18,2,none,0
19,2,none,0
20,2,none,0
21,2,none,0
22,2,none,0
23,2,none,0
24,2,none,0
25,2,none,0
26,2,none,0
27,2,none,0
28,2,none,0
29,2,none,0
30,2,none,0
31,2,none,0
32,2,none,0
33,2,none,0
35,2,none,0
1,3,none,0
2,3,none,0
3,3,none,0
4,3,none,0
5,3,none,0
6,3,none,0
7,3,none,0
8,3,none,0
9,3,none,0
10,3,none,0
11,3,none,0
12,3,none,0
13,3,none,0
14,3,none,0
15,3,none,0
16,3,none,0
18,3,none,0
19,3,none,0
20,3,none,0
21,3,none,0
22,3,none,0
23,3,none,0
24,3,none,0
26,3,none,0
27,3,none,0
28,3,none,0
29,3,none,0
30,3,none,0
31,3,none,0
32,3,none,0
33,3,none,0
35,3,none,0
1,4,none,0
2,4,none,0
3,4,none,0
4,4,none,0
6,4,none,0
7,4,none,0
8,4,none,0
9,4,none,0
10,4,none,0
11,4,none,0
13,4,none,0
14,4,none,0
15,4,none,0
16,4,none,0
18,4,none,0
19,4,none,0
20,4,none,0
22,4,none,0
23,4,none,0
24,4,none,0
25,4,none,0
26,4,none,0
27,4,none,0
28,4,none,0
29,4,none,0
30,4,none,0
31,4,none,0
32,4,none,0
33,4,none,0
34,4,none,0
35,4,none,0
1,5,none,0
2,5,none,0
3,5,none,0
4,5,none,0
5,5,none,0
6,5,none,0
7,5,none,0
8,5,none,0
9,5,none,0
10,5,none,0
11,5,none,0
12,5,none,0
13,5,none,0
14,5,none,0
15,5,none,0
16,5,none,0
18,5,none,0
19,5,none,0
20,5,none,0
21,5,none,0
22,5,none,0
23,5,none,0
24,5,none,0
25,5,none,0
26,5,none,0
27,5,none,0
28,5,none,0
29,5,none,0
30,5,none,0
31,5,none,0
32,5,none,0
33,5,none,0
35,5,none,0
1,6,none,0
2,6,none,0
3,6,none,0
4,6,none,0
5,6,none,0
6,6,none,0
7,6,none,0
8,6,none,0
9,6,none,0
10,6,none,0
11,6,none,0
12,6,none,0
13,6,none,0
14,6,none,0
15,6,none,0
16,6,none,0
18,6,none,0
19,6,none,0
20,6,none,0
21,6,none,0
22,6,none,0
23,6,none,0
24,6,none,0
25,6,none,0
26,6,none,0
27,6,none,0
28,6,none,0
29,6,none,0
30,6,none,0
31,6,none,0
32,6,none,0
33,6,none,0
34,6,none,0
35,6,none,0
1,7,none,0
2,7,none,0
3,7,none,0
4,7,none,0
6,7,none,0
7,7,none,0
8,7,none,0
9,7,none,0
10,7,none,0
11,7,none,0
12,7,none,0
13,7,none,0
14,7,none,0
15,7,none,0
16,7,none,0
18,7,none,0
19,7,none,0
20,7,none,0
21,7,none,0
22,7,none,0
23,7,none,0
24,7,none,0
25,7,none,0
26,7,none,0
27,7,none,0
28,7,none,0
29,7,none,0
30,7,none,0
31,7,none,0
32,7,none,0
33,7,none,0
35,7,none,0
1,8,none,0
2,8,none,0
3,8,none,0
4,8,none,0
6,8,none,0
7,8,none,0
8,8,none,0
9,8,none,0
10,8,none,0
11,8,none,0
12,8,none,0
13,8,none,0
14,8,none,0
15,8,none,0
16,8,none,0
18,8,none,0
19,8,none,0
20,8,none,0
21,8,none,0
22,8,none,0
24,8,none,0
25,8,none,0
26,8,none,0
27,8,none,0
28,8,none,0
29,8,none,0
30,8,none,0
31,8,none,0
32,8,none,0
