subjects,items,type,ans
1,1,N,1
1,2,N,0
1,3,N,0
1,4,N,1
1,5,N,1
1,6,N,0
1,7,N,1
1,8,N,0
1,9,N,0
1,10,N,0
1,11,N,0
1,12,N,1
1,13,N,0
1,14,N,0
1,15,N,0
1,16,Y,1
1,17,Y,0
1,18,Y,0
1,19,Y,0
1,20,Y,0
1,21,Y,1
1,22,Y,0
1,23,Y,0
1,24,Y,0
1,25,Y,0
1,26,Y,0
1,27,Y,0
1,28,Y,0
1,29,Y,0
1,30,Y,0
2,1,N,0
2,2,N,0
2,3,N,1
2,4,N,0
2,5,N,0
2,6,N,1
2,7,N,0
2,8,N,1
2,9,N,1
2,10,N,0
2,11,N,0
2,12,N,1
2,13,N,0
2,14,N,1
2,15,N,0
2,16,Y,0
2,17,Y,1
2,18,Y,1
2,19,Y,0
2,20,Y,1
2,21,Y,1
2,22,Y,0
2,23,Y,1
2,24,Y,0
2,25,Y,0
2,26,Y,0
2,27,Y,1
2,28,Y,0
2,29,Y,0
2,30,Y,1
3,1,N,0
3,2,N,0
3,3,N,1
3,4,N,0
3,5,N,1
3,6,N,0
3,7,N,0
3,8,N,0
3,9,N,1
3,10,N,0
3,11,N,1
3,12,N,1
3,13,N,0
3,14,N,0
3,15,N,0
3,16,Y,0
3,17,Y,1
3,18,Y,1
3,19,Y,0
3,20,Y,0
3,21,Y,1
3,22,Y,0
3,23,Y,0
3,24,Y,0
3,25,Y,1
3,26,Y,0
3,27,Y,1
3,28,Y,0
3,29,Y,0
3,30,Y,1
4,1,N,0
4,2,N,0
4,3,N,1
4,4,N,0
4,5,N,0
4,6,N,1
4,7,N,0
4,8,N,0
4,9,N,1
4,10,N,0
4,11,N,0
4,12,N,1
4,13,N,0
4,14,N,0
4,15,N,0
4,16,Y,0
4,17,Y,0
4,18,Y,1
4,19,Y,0
4,20,Y,0
4,21,Y,1
4,22,Y,0
4,23,Y,0
4,24,Y,1
4,25,Y,0
4,26,Y,0
4,27,Y,1
4,28,Y,0
4,29,Y,0
4,30,Y,1
5,1,N,0
5,2,N,0
5,3,N,1
5,4,N,0
5,5,N,0
5,6,N,1
5,7,N,0
5,8,N,1
5,9,N,1
5,10,N,0
5,11,N,1
5,12,N,1
5,13,N,0
5,14,N,1
5,15,N,0
5,16,Y,0
5,17,Y,1
5,18,Y,1
5,19,Y,0
5,20,Y,1
5,21,Y,1
5,22,Y,0
5,23,Y,1
5,24,Y,1
5,25,Y,1
5,26,Y,0
5,27,Y,1
5,28,Y,1
5,29,Y,0
5,30,Y,0
6,1,N,0
6,2,N,0
6,3,N,0
6,4,N,0
6,5,N,0
6,6,N,0
6,7,N,1
6,8,N,1
6,9,N,0
6,10,N,0
6,11,N,1
6,12,N,0
6,13,N,1
6,14,N,1
6,15,N,0
6,16,Y,0
6,17,Y,1
6,18,Y,0
6,19,Y,0
6,20,Y,1
6,21,Y,1
6,22,Y,1
6,23,Y,1
6,24,Y,0
6,25,Y,0
6,26,Y,0
6,27,Y,0
6,28,Y,0
6,29,Y,1
6,30,Y,0
7,1,N,0
7,2,N,0
7,3,N,1
7,4,N,1
7,5,N,0
7,6,N,1
7,7,N,0
7,8,N,1
7,9,N,1
7,10,N,0
7,11,N,0
7,12,N,1
7,13,N,0
7,14,N,1
7,15,N,1
7,16,Y,0
7,17,Y,1
7,18,Y,1
7,19,Y,0
7,20,Y,1
7,21,Y,1
7,22,Y,0
7,23,Y,1
7,24,Y,0
7,25,Y,0
7,26,Y,0
7,27,Y,1
7,28,Y,0
7,29,Y,0
7,30,Y,1
8,1,N,0
8,2,N,0
8,3,N,0
8,4,N,1
8,5,N,0
8,6,N,0
8,7,N,0
8,8,N,0
8,9,N,0
8,10,N,0
8,11,N,0
8,12,N,0
8,13,N,0
8,14,N,0
8,15,N,0
8,16,Y,0
8,17,Y,1
8,18,Y,0
8,19,Y,0
8,20,Y,0
8,21,Y,1
8,22,Y,0
8,23,Y,0
8,24,Y,0
8,25,Y,0
8,26,Y,0
8,27,Y,0
8,28,Y,0
8,29,Y,0
8,30,Y,0
9,1,N,0
9,2,N,0
9,3,N,0
9,4,N,1
9,5,N,1
9,6,N,1
9,7,N,1
9,8,N,1
9,9,N,1
9,10,N,1
9,11,N,1
9,12,N,1
9,13,N,0
9,14,N,1
9,15,N,1
9,16,Y,0
9,17,Y,1
9,18,Y,1
9,19,Y,1
9,20,Y,1
9,21,Y,1
9,22,Y,0
9,23,Y,1
9,24,Y,0
9,25,Y,1
9,26,Y,0
9,27,Y,1
9,28,Y,0
9,29,Y,0
9,30,Y,1
11,1,N,0
11,2,N,0
11,3,N,1
11,4,N,0
11,5,N,0
11,6,N,1
11,7,N,0
11,8,N,1
11,9,N,1
11,10,N,0
11,11,N,1
11,12,N,1
11,13,N,0
11,14,N,1
11,15,N,1
11,16,Y,0
11,17,Y,1
11,18,Y,1
11,19,Y,0
11,20,Y,1
11,21,Y,1
11,22,Y,1
11,23,Y,1
11,24,Y,1
11,25,Y,0
11,26,Y,0
11,27,Y,1
11,28,Y,1
11,29,Y,1
11,30,Y,1
13,1,N,0
13,2,N,0
13,3,N,1
13,4,N,0
13,5,N,1
13,6,N,0
13,7,N,0
13,8,N,1
13,9,N,0
13,10,N,0
13,11,N,1
13,12,N,0
13,13,N,1
13,14,N,1
13,15,N,0
13,16,Y,0
13,17,Y,1
13,18,Y,0
13,19,Y,0
13,20,Y,0
13,21,Y,1
13,22,Y,1
13,23,Y,0
13,24,Y,0
13,25,Y,0
13,26,Y,1
13,27,Y,0
13,28,Y,0
13,29,Y,0
13,30,Y,0
14,1,N,0
14,2,N,0
14,3,N,1
14,4,N,1
14,5,N,0
14,6,N,1
14,7,N,1
14,8,N,0
14,9,N,1
14,10,N,1
14,11,N,0
14,12,N,1
14,13,N,1
14,14,N,0
14,15,N,1
14,16,Y,0
14,17,Y,0
14,18,Y,1
14,19,Y,0
14,20,Y,0
14,21,Y,1
14,22,Y,0
14,23,Y,0
14,24,Y,1
14,25,Y,0
14,26,Y,0
14,27,Y,1
14,28,Y,0
14,29,Y,0
14,30,Y,1
15,1,N,0
15,2,N,0
15,3,N,0
15,4,N,1
15,5,N,0
15,6,N,0
15,7,N,1
15,8,N,0
15,9,N,1
15,10,N,1
15,11,N,0
15,12,N,0
15,13,N,1
15,14,N,0
15,15,N,0
15,16,Y,1
15,17,Y,0
15,18,Y,0
15,19,Y,0
15,20,Y,0
15,21,Y,1
15,22,Y,1
15,23,Y,1
15,24,Y,0
15,25,Y,0
15,26,Y,0
15,27,Y,0
15,28,Y,0
15,29,Y,0
15,30,Y,0
16,1,N,0
16,2,N,0
16,3,N,0
16,4,N,1
16,5,N,0
16,6,N,0
16,7,N,1
16,8,N,0
16,9,N,0
16,10,N,0
16,11,N,1
16,12,N,0
16,13,N,1
16,14,N,0
16,15,N,0
16,16,Y,1
16,17,Y,0
16,18,Y,0
16,19,Y,1
16,20,Y,0
16,21,Y,1
16,22,Y,0
16,23,Y,0
16,24,Y,0
16,25,Y,0
16,26,Y,1
16,27,Y,0
16,28,Y,0
16,29,Y,0
16,30,Y,0
17,1,N,0
17,2,N,0
17,3,N,1
17,4,N,1
17,5,N,0
17,6,N,1
17,7,N,1
17,8,N,0
17,9,N,1
17,10,N,1
17,11,N,0
17,12,N,1
17,13,N,1
17,14,N,0
17,15,N,0
17,16,Y,1
17,17,Y,0
17,18,Y,1
17,19,Y,1
17,20,Y,0
17,21,Y,1
17,22,Y,0
17,23,Y,1
17,24,Y,1
17,25,Y,0
17,26,Y,1
17,27,Y,1
17,28,Y,0
17,29,Y,0
17,30,Y,0
18,1,N,0
18,2,N,0
18,3,N,1
18,4,N,0
18,5,N,0
18,6,N,1
18,7,N,0
18,8,N,0
18,9,N,1
18,10,N,0
18,11,N,0
18,12,N,1
18,13,N,0
18,14,N,0
18,15,N,0
18,16,Y,0
18,17,Y,0
18,18,Y,1
18,19,Y,0
18,20,Y,0
18,21,Y,1
18,22,Y,0
18,23,Y,0
18,24,Y,0
18,25,Y,0
18,26,Y,1
18,27,Y,1
18,28,Y,0
18,29,Y,0
18,30,Y,1
19,1,N,0
19,2,N,0
19,3,N,1
19,4,N,0
19,5,N,0
19,6,N,1
19,7,N,1
19,8,N,1
19,9,N,1
19,10,N,0
19,11,N,0
19,12,N,1
19,13,N,0
19,14,N,0
19,15,N,1
19,16,Y,0
19,17,Y,0
19,18,Y,1
19,19,Y,1
19,20,Y,0
19,21,Y,1
19,22,Y,0
19,23,Y,0
19,24,Y,0
19,25,Y,1
19,26,Y,1
19,27,Y,1
19,28,Y,0
19,29,Y,0
19,30,Y,1
20,1,N,0
20,2,N,0
20,3,N,0
20,4,N,1
20,5,N,0
20,6,N,0
20,7,N,0
20,8,N,0
20,9,N,0
20,10,N,1
20,11,N,0
20,12,N,1
20,13,N,0
20,14,N,0
20,15,N,0
20,16,Y,1
20,17,Y,0
20,18,Y,0
20,19,Y,0
20,20,Y,0
20,21,Y,1
20,22,Y,0
20,23,Y,0
20,24,Y,0
20,25,Y,0
20,26,Y,1
20,27,Y,0
20,28,Y,0
20,29,Y,0
20,30,Y,0
21,1,N,0
21,2,N,0
21,3,N,1
21,4,N,1
21,5,N,1
21,6,N,1
21,7,N,1
21,8,N,1
21,9,N,1
21,10,N,1
21,11,N,0
21,12,N,1
21,13,N,1
21,14,N,1
21,15,N,1
21,16,Y,1
21,17,Y,1
21,18,Y,1
21,19,Y,1
21,20,Y,0
21,21,Y,1
21,22,Y,0
21,23,Y,1
21,24,Y,0
21,25,Y,0
21,26,Y,1
21,27,Y,1
21,28,Y,0
21,29,Y,0
21,30,Y,1
22,1,N,0
22,2,N,0
22,3,N,1
22,4,N,1
22,5,N,0
22,6,N,1
22,7,N,1
22,8,N,0
22,9,N,1
22,10,N,1
22,11,N,1
22,12,N,1
22,13,N,1
22,14,N,0
22,15,N,1
22,16,Y,0
22,17,Y,0
22,18,Y,1
22,19,Y,1
22,20,Y,0
22,21,Y,1
22,22,Y,0
22,23,Y,1
22,24,Y,1
22,25,Y,0
22,26,Y,1
22,27,Y,1
22,28,Y,0
22,29,Y,0
22,30,Y,1
23,1,N,0
23,2,N,0
23,3,N,1
23,4,N,0
23,5,N,0
23,6,N,1
23,7,N,0
23,8,N,0
23,9,N,0
23,10,N,0
23,11,N,0
23,12,N,1
23,13,N,0
23,14,N,0
23,15,N,1
23,16,Y,0
23,17,Y,0
23,18,Y,1
23,19,Y,0
23,20,Y,0
23,21,Y,1
23,22,Y,0
23,23,Y,0
23,24,Y,1
23,25,Y,0
23,26,Y,1
23,27,Y,0
23,28,Y,1
23,29,Y,0
23,30,Y,1
24,1,N,0
24,2,N,0
24,3,N,0
24,4,N,1
24,5,N,1
24,6,N,0
24,7,N,1
24,8,N,0
24,9,N,0
24,10,N,1
24,11,N,1
24,12,N,0
24,13,N,1
24,14,N,1
24,15,N,0
24,16,Y,0
24,17,Y,1
24,18,Y,0
24,19,Y,1
24,20,Y,0
24,21,Y,0
24,22,Y,0
24,23,Y,1
24,24,Y,0
24,25,Y,0
24,26,Y,1
24,27,Y,1
24,28,Y,0
24,29,Y,0
24,30,Y,0
25,1,N,0
25,2,N,1
25,3,N,0
25,4,N,0
25,5,N,1
25,6,N,0
25,7,N,1
25,8,N,1
25,9,N,0
25,10,N,0
25,11,N,1
25,12,N,0
25,13,N,0
25,14,N,1
25,15,N,0
25,16,Y,0
25,17,Y,1
25,18,Y,0
25,19,Y,0
25,20,Y,1
25,21,Y,0
25,22,Y,0
25,23,Y,0
25,24,Y,0
25,25,Y,0
25,26,Y,1
