subjects,items,condition,parallel,semantic,RT
P17,ma-ma.01.rtf,ma-ma,2,1,2973
P14,ma-ma.01.rtf,ma-ma,2,1,2806
P24,ma-ma.01.rtf,ma-ma,2,1,2333
P01,ma-ma.01.rtf,ma-ma,2,1,2260
P32,ma-ma.01.rtf,ma-ma,2,1,1980
P21,ma-ma.01.rtf,ma-ma,2,1,1950
P15,ma-ma.01.rtf,ma-ma,2,1,1858
P37,ma-ma.01.rtf,ma-ma,2,1,1770
P11,ma-ma.01.rtf,ma-ma,2,1,1696
P04,ma-ma.01.rtf,ma-ma,2,1,1511
P27,ma-ma.01.rtf,ma-ma,2,1,1501
P26,ma-ma.01.rtf,ma-ma,2,1,1429
P12,ma-ma.01.rtf,ma-ma,2,1,1296
P08,ma-ma.01.rtf,ma-ma,2,1,1286
P23,ma-ma.01.rtf,ma-ma,2,1,1173
P20,ma-ma.01.rtf,ma-ma,2,1,1105
P29,ma-ma.01.rtf,ma-ma,2,1,1091
P19,ma-ma.01.rtf,ma-ma,2,1,1051
P13,ma-ma.01.rtf,ma-ma,2,1,1022
P28,ma-ma.01.rtf,ma-ma,2,1,1016
P33,ma-ma.01.rtf,ma-ma,2,1,1008
P25,ma-ma.01.rtf,ma-ma,2,1,1002
P16,ma-ma.01.rtf,ma-ma,2,1,958
P31,ma-ma.01.rtf,ma-ma,2,1,919
P10,ma-ma.01.rtf,ma-ma,2,1,914
P18,ma-ma.01.rtf,ma-ma,2,1,895
P30,ma-ma.01.rtf,ma-ma,2,1,831
P02,ma-ma.01.rtf,ma-ma,2,1,801
P05,ma-ma.01.rtf,ma-ma,2,1,714
P07,ma-ma.01.rtf,ma-ma,2,1,704
P34,ma-ma.01.rtf,ma-ma,2,1,660
P09,ma-ma.01.rtf,ma-ma,2,1,601
P03,ma-ma.01.rtf,ma-ma,2,1,547
P22,ma-ma.01.rtf,ma-ma,2,1,503
P36,ma-ma.01.rtf,ma-ma,2,1,365
P35,ma-ma.01.rtf,ma-ma,2,1,307
P11,ma-ma.02.rtf,ma-ma,2,1,1980
P13,ma-ma.02.rtf,ma-ma,2,1,1921
P08,ma-ma.02.rtf,ma-ma,2,1,1897
P29,ma-ma.02.rtf,ma-ma,2,1,1848
P24,ma-ma.02.rtf,ma-ma,2,1,1786
P37,ma-ma.02.rtf,ma-ma,2,1,1697
P32,ma-ma.02.rtf,ma-ma,2,1,1672
P25,ma-ma.02.rtf,ma-ma,2,1,1626
P34,ma-ma.02.rtf,ma-ma,2,1,1619
P20,ma-ma.02.rtf,ma-ma,2,1,1614
P09,ma-ma.02.rtf,ma-ma,2,1,1604
P26,ma-ma.02.rtf,ma-ma,2,1,1601
P22,ma-ma.02.rtf,ma-ma,2,1,1535
P31,ma-ma.02.rtf,ma-ma,2,1,1486
P12,ma-ma.02.rtf,ma-ma,2,1,1472
P27,ma-ma.02.rtf,ma-ma,2,1,1457
P16,ma-ma.02.rtf,ma-ma,2,1,1369
P01,ma-ma.02.rtf,ma-ma,2,1,1218
P05,ma-ma.02.rtf,ma-ma,2,1,1183
P33,ma-ma.02.rtf,ma-ma,2,1,1183
P10,ma-ma.02.rtf,ma-ma,2,1,953
P36,ma-ma.02.rtf,ma-ma,2,1,914
P18,ma-ma.02.rtf,ma-ma,2,1,904
P14,ma-ma.02.rtf,ma-ma,2,1,880
P21,ma-ma.02.rtf,ma-ma,2,1,835
P07,ma-ma.02.rtf,ma-ma,2,1,753
P03,ma-ma.02.rtf,ma-ma,2,1,743
P30,ma-ma.02.rtf,ma-ma,2,1,616
P28,ma-ma.02.rtf,ma-ma,2,1,592
P04,ma-ma.02.rtf,ma-ma,2,1,464
P17,ma-ma.02.rtf,ma-ma,2,1,459
P35,ma-ma.02.rtf,ma-ma,2,1,401
P19,ma-ma.02.rtf,ma-ma,2,1,341
P23,ma-ma.02.rtf,ma-ma,2,1,337
P15,ma-ma.02.rtf,ma-ma,2,1,278
P32,ma-ma.03.rtf,ma-ma,2,1,2753
P11,ma-ma.03.rtf,ma-ma,2,1,2298
P02,ma-ma.03.rtf,ma-ma,2,1,2005
P12,ma-ma.03.rtf,ma-ma,2,1,1985
P24,ma-ma.03.rtf,ma-ma,2,1,1912
P08,ma-ma.03.rtf,ma-ma,2,1,1652
P16,ma-ma.03.rtf,ma-ma,2,1,1638
P15,ma-ma.03.rtf,ma-ma,2,1,1442
P33,ma-ma.03.rtf,ma-ma,2,1,1417
P27,ma-ma.03.rtf,ma-ma,2,1,1315
P31,ma-ma.03.rtf,ma-ma,2,1,1270
P07,ma-ma.03.rtf,ma-ma,2,1,1212
P37,ma-ma.03.rtf,ma-ma,2,1,1169
P06,ma-ma.03.rtf,ma-ma,2,1,1148
P29,ma-ma.03.rtf,ma-ma,2,1,1126
P26,ma-ma.03.rtf,ma-ma,2,1,1062
P05,ma-ma.03.rtf,ma-ma,2,1,1056
P22,ma-ma.03.rtf,ma-ma,2,1,1041
P10,ma-ma.03.rtf,ma-ma,2,1,968
P18,ma-ma.03.rtf,ma-ma,2,1,894
P09,ma-ma.03.rtf,ma-ma,2,1,885
P34,ma-ma.03.rtf,ma-ma,2,1,807
P14,ma-ma.03.rtf,ma-ma,2,1,762
P01,ma-ma.03.rtf,ma-ma,2,1,729
P35,ma-ma.03.rtf,ma-ma,2,1,572
P36,ma-ma.03.rtf,ma-ma,2,1,528
P25,ma-ma.03.rtf,ma-ma,2,1,478
P13,ma-ma.03.rtf,ma-ma,2,1,420
P17,ma-ma.03.rtf,ma-ma,2,1,395
P21,ma-ma.03.rtf,ma-ma,2,1,292
P03,ma-ma.03.rtf,ma-ma,2,1,288
P04,ma-ma.03.rtf,ma-ma,2,1,259
P28,ma-ma.03.rtf,ma-ma,2,1,210
P19,ma-ma.03.rtf,ma-ma,2,1,161
P20,ma-ma.03.rtf,ma-ma,2,1,136
P30,ma-ma.03.rtf,ma-ma,2,1,136
P23,ma-ma.03.rtf,ma-ma,2,1,65
P23,ma-ma.04.rtf,ma-ma,2,1,2780
P24,ma-ma.04.rtf,ma-ma,2,1,2069
P21,ma-ma.04.rtf,ma-ma,2,1,2067
P14,ma-ma.04.rtf,ma-ma,2,1,1902
P22,ma-ma.04.rtf,ma-ma,2,1,1887
P12,ma-ma.04.rtf,ma-ma,2,1,1643
P13,ma-ma.04.rtf,ma-ma,2,1,1477
P32,ma-ma.04.rtf,ma-ma,2,1,1427
P07,ma-ma.04.rtf,ma-ma,2,1,1388
P04,ma-ma.04.rtf,ma-ma,2,1,1359
P01,ma-ma.04.rtf,ma-ma,2,1,1348
P16,ma-ma.04.rtf,ma-ma,2,1,1316
P08,ma-ma.04.rtf,ma-ma,2,1,1296
P06,ma-ma.04.rtf,ma-ma,2,1,1236.1
P27,ma-ma.04.rtf,ma-ma,2,1,1227
P20,ma-ma.04.rtf,ma-ma,2,1,1202
P18,ma-ma.04.rtf,ma-ma,2,1,1139
P29,ma-ma.04.rtf,ma-ma,2,1,1090
P19,ma-ma.04.rtf,ma-ma,2,1,1070
P31,ma-ma.04.rtf,ma-ma,2,1,958
P17,ma-ma.04.rtf,ma-ma,2,1,943
P37,ma-ma.04.rtf,ma-ma,2,1,929
P25,ma-ma.04.rtf,ma-ma,2,1,901
P35,ma-ma.04.rtf,ma-ma,2,1,900
P28,ma-ma.04.rtf,ma-ma,2,1,860
P33,ma-ma.04.rtf,ma-ma,2,1,837
P10,ma-ma.04.rtf,ma-ma,2,1,836
P30,ma-ma.04.rtf,ma-ma,2,1,802
P26,ma-ma.04.rtf,ma-ma,2,1,729
P34,ma-ma.04.rtf,ma-ma,2,1,650
P11,ma-ma.04.rtf,ma-ma,2,1,595
P05,ma-ma.04.rtf,ma-ma,2,1,533
P09,ma-ma.04.rtf,ma-ma,2,1,518
P36,ma-ma.04.rtf,ma-ma,2,1,489
P15,ma-ma.04.rtf,ma-ma,2,1,415
P02,ma-ma.04.rtf,ma-ma,2,1,401
P16,ma-ma.05.rtf,ma-ma,2,1,2552
P25,ma-ma.05.rtf,ma-ma,2,1,2400
P21,ma-ma.05.rtf,ma-ma,2,1,2244
P18,ma-ma.05.rtf,ma-ma,2,1,2219
P34,ma-ma.05.rtf,ma-ma,2,1,2151
P17,ma-ma.05.rtf,ma-ma,2,1,1750
P20,ma-ma.05.rtf,ma-ma,2,1,1740
P36,ma-ma.05.rtf,ma-ma,2,1,1711
P15,ma-ma.05.rtf,ma-ma,2,1,1604
P11,ma-ma.05.rtf,ma-ma,2,1,1589
P35,ma-ma.05.rtf,ma-ma,2,1,1569
P37,ma-ma.05.rtf,ma-ma,2,1,1555
P04,ma-ma.05.rtf,ma-ma,2,1,1535
P10,ma-ma.05.rtf,ma-ma,2,1,1295
P01,ma-ma.05.rtf,ma-ma,2,1,1287
P31,ma-ma.05.rtf,ma-ma,2,1,1124
P09,ma-ma.05.rtf,ma-ma,2,1,1096
P22,ma-ma.05.rtf,ma-ma,2,1,1067
P32,ma-ma.05.rtf,ma-ma,2,1,1022
P29,ma-ma.05.rtf,ma-ma,2,1,914
P05,ma-ma.05.rtf,ma-ma,2,1,905
P07,ma-ma.05.rtf,ma-ma,2,1,870
P33,ma-ma.05.rtf,ma-ma,2,1,865
P26,ma-ma.05.rtf,ma-ma,2,1,856
P02,ma-ma.05.rtf,ma-ma,2,1,850
P13,ma-ma.05.rtf,ma-ma,2,1,845
P24,ma-ma.05.rtf,ma-ma,2,1,730
P08,ma-ma.05.rtf,ma-ma,2,1,655
P19,ma-ma.05.rtf,ma-ma,2,1,630
P27,ma-ma.05.rtf,ma-ma,2,1,606
P28,ma-ma.05.rtf,ma-ma,2,1,586
P12,ma-ma.05.rtf,ma-ma,2,1,410
P06,ma-ma.05.rtf,ma-ma,2,1,357
P14,ma-ma.05.rtf,ma-ma,2,1,313
P23,ma-ma.05.rtf,ma-ma,2,1,271
P03,ma-ma.05.rtf,ma-ma,2,1,264
P30,ma-ma.05.rtf,ma-ma,2,1,180
P25,ma-ma.06.rtf,ma-ma,2,1,2270
P08,ma-ma.06.rtf,ma-ma,2,1,1682
P37,ma-ma.06.rtf,ma-ma,2,1,1466
P04,ma-ma.06.rtf,ma-ma,2,1,1198
P06,ma-ma.06.rtf,ma-ma,2,1,1139
P33,ma-ma.06.rtf,ma-ma,2,1,1114
P31,ma-ma.06.rtf,ma-ma,2,1,1095
P35,ma-ma.06.rtf,ma-ma,2,1,1027
P19,ma-ma.06.rtf,ma-ma,2,1,870
P27,ma-ma.06.rtf,ma-ma,2,1,855
