subjects,items,condition,parallel,semantic,RT
P06,ma-ma.01.rtf,ma-ma,2,1,2140
P06,ma-ma.01.rtf,ma-ma,2,1,1921
P32,ma-ma.01.rtf,ma-ma,2,1,1877
P23,ma-ma.01.rtf,ma-ma,2,1,1807
P21,ma-ma.01.rtf,ma-ma,2,1,1540
P21,ma-ma.01.rtf,ma-ma,2,1,1471
P01,ma-ma.01.rtf,ma-ma,2,1,1364
P23,ma-ma.01.rtf,ma-ma,2,1,1339
P04,ma-ma.01.rtf,ma-ma,2,1,1232
P13,ma-ma.01.rtf,ma-ma,2,1,1227
P06,ma-ma.01.rtf,ma-ma,2,1,1222
P15,ma-ma.01.rtf,ma-ma,2,1,1208
P17,ma-ma.01.rtf,ma-ma,2,1,1188
P21,ma-ma.01.rtf,ma-ma,2,1,1100
P37,ma-ma.01.rtf,ma-ma,2,1,1075
P29,ma-ma.01.rtf,ma-ma,2,1,1071
P31,ma-ma.01.rtf,ma-ma,2,1,1017
P01,ma-ma.01.rtf,ma-ma,2,1,1002
P32,ma-ma.01.rtf,ma-ma,2,1,992
P19,ma-ma.01.rtf,ma-ma,2,1,991
P06,ma-ma.01.rtf,ma-ma,2,1,958
P06,ma-ma.01.rtf,ma-ma,2,1,918
P23,ma-ma.01.rtf,ma-ma,2,1,906
P23,ma-ma.01.rtf,ma-ma,2,1,895
P31,ma-ma.01.rtf,ma-ma,2,1,855
P17,ma-ma.01.rtf,ma-ma,2,1,846
P13,ma-ma.01.rtf,ma-ma,2,1,811
P22,ma-ma.01.rtf,ma-ma,2,1,795
P31,ma-ma.01.rtf,ma-ma,2,1,787
P21,ma-ma.01.rtf,ma-ma,2,1,772
P21,ma-ma.01.rtf,ma-ma,2,1,767
P24,ma-ma.01.rtf,ma-ma,2,1,752
P20,ma-ma.01.rtf,ma-ma,2,1,742
P32,ma-ma.01.rtf,ma-ma,2,1,728
P14,ma-ma.01.rtf,ma-ma,2,1,723
P14,ma-ma.01.rtf,ma-ma,2,1,723
P28,ma-ma.01.rtf,ma-ma,2,1,714
P31,ma-ma.01.rtf,ma-ma,2,1,689
P04,ma-ma.01.rtf,ma-ma,2,1,670
P29,ma-ma.01.rtf,ma-ma,2,1,669
P01,ma-ma.01.rtf,ma-ma,2,1,649
P17,ma-ma.01.rtf,ma-ma,2,1,647
P23,ma-ma.01.rtf,ma-ma,2,1,639
P15,ma-ma.01.rtf,ma-ma,2,1,625
P15,ma-ma.01.rtf,ma-ma,2,1,616
P06,ma-ma.01.rtf,ma-ma,2,1,616
P31,ma-ma.01.rtf,ma-ma,2,1,596
P02,ma-ma.01.rtf,ma-ma,2,1,591
P19,ma-ma.01.rtf,ma-ma,2,1,590
