subjects,items,condition,parallel,semantic,RT
P01,ma-ma.01.rtf,ma-ma,2,1,2451.7
P02,ma-ma.01.rtf,ma-ma,2,1,801.8
P03,ma-ma.01.rtf,ma-ma,2,1,547.5
P04,ma-ma.01.rtf,ma-ma,2,1,1511.1
P05,ma-ma.01.rtf,ma-ma,2,1,714
P07,ma-ma.01.rtf,ma-ma,2,1,704.1
P08,ma-ma.01.rtf,ma-ma,2,1,1286
P09,ma-ma.01.rtf,ma-ma,2,1,601.2
P10,ma-ma.01.rtf,ma-ma,2,1,914.4
P11,ma-ma.01.rtf,ma-ma,2,1,1696.9
P12,ma-ma.01.rtf,ma-ma,2,1,1296
P13,ma-ma.01.rtf,ma-ma,2,1,1555.1
P14,ma-ma.01.rtf,ma-ma,2,1,2806.7
P15,ma-ma.01.rtf,ma-ma,2,1,2132
P16,ma-ma.01.rtf,ma-ma,2,1,958.4
P17,ma-ma.01.rtf,ma-ma,2,1,2973.1
P18,ma-ma.01.rtf,ma-ma,2,1,895
P19,ma-ma.01.rtf,ma-ma,2,1,1051.4
P20,ma-ma.01.rtf,ma-ma,2,1,1105.3
P21,ma-ma.01.rtf,ma-ma,2,1,3422.2
P22,ma-ma.01.rtf,ma-ma,2,1,654.8
P23,ma-ma.01.rtf,ma-ma,2,1,2512.1
P24,ma-ma.01.rtf,ma-ma,2,1,2218
P25,ma-ma.01.rtf,ma-ma,2,1,1002.1
P26,ma-ma.01.rtf,ma-ma,2,1,1429
P27,ma-ma.01.rtf,ma-ma,2,1,1501.7
P28,ma-ma.01.rtf,ma-ma,2,1,1731.1
P29,ma-ma.01.rtf,ma-ma,2,1,1237.8
P30,ma-ma.01.rtf,ma-ma,2,1,1393.8
P31,ma-ma.01.rtf,ma-ma,2,1,1937
P32,ma-ma.01.rtf,ma-ma,2,1,1936.4
P33,ma-ma.01.rtf,ma-ma,2,1,1008.3
P34,ma-ma.01.rtf,ma-ma,2,1,660
P35,ma-ma.01.rtf,ma-ma,2,1,307.9
P36,ma-ma.01.rtf,ma-ma,2,1,365.9
P37,ma-ma.01.rtf,ma-ma,2,1,1770.1
P01,ma-ma.02.rtf,ma-ma,2,1,2104.3
P03,ma-ma.02.rtf,ma-ma,2,1,1447.3
P04,ma-ma.02.rtf,ma-ma,2,1,1213.4
P05,ma-ma.02.rtf,ma-ma,2,1,1580
P07,ma-ma.02.rtf,ma-ma,2,1,1467.1
P08,ma-ma.02.rtf,ma-ma,2,1,3382.6
P09,ma-ma.02.rtf,ma-ma,2,1,1863.3
P10,ma-ma.02.rtf,ma-ma,2,1,953.7
P16,ma-ma.02.rtf,ma-ma,2,1,1369.2
P18,ma-ma.02.rtf,ma-ma,2,1,904.8
P19,ma-ma.02.rtf,ma-ma,2,1,1329.8
P22,ma-ma.02.rtf,ma-ma,2,1,1535.8
P23,ma-ma.02.rtf,ma-ma,2,1,2909.6
P26,ma-ma.02.rtf,ma-ma,2,1,1601
P27,ma-ma.02.rtf,ma-ma,2,1,1457.5
P29,ma-ma.02.rtf,ma-ma,2,1,2576.8
P30,ma-ma.02.rtf,ma-ma,2,1,1545.3
P31,ma-ma.02.rtf,ma-ma,2,1,1653
P33,ma-ma.02.rtf,ma-ma,2,1,1183.2
P34,ma-ma.02.rtf,ma-ma,2,1,1619
P35,ma-ma.02.rtf,ma-ma,2,1,401
P37,ma-ma.02.rtf,ma-ma,2,1,1697
P01,ma-ma.03.rtf,ma-ma,2,1,1701.6
P02,ma-ma.03.rtf,ma-ma,2,1,2005
P03,ma-ma.03.rtf,ma-ma,2,1,288.3
P04,ma-ma.03.rtf,ma-ma,2,1,1862.9
P05,ma-ma.03.rtf,ma-ma,2,1,1056.1
P06,ma-ma.03.rtf,ma-ma,2,1,1794.1
P07,ma-ma.03.rtf,ma-ma,2,1,1212.7
P08,ma-ma.03.rtf,ma-ma,2,1,2938.9
P09,ma-ma.03.rtf,ma-ma,2,1,885.2
P11,ma-ma.03.rtf,ma-ma,2,1,3251.3
P13,ma-ma.03.rtf,ma-ma,2,1,1066.2
P15,ma-ma.03.rtf,ma-ma,2,1,2900.4
P17,ma-ma.03.rtf,ma-ma,2,1,395.8
P19,ma-ma.03.rtf,ma-ma,2,1,2463.9
P20,ma-ma.03.rtf,ma-ma,2,1,2353.1
P21,ma-ma.03.rtf,ma-ma,2,1,2918.3
P23,ma-ma.03.rtf,ma-ma,2,1,1510.4
P24,ma-ma.03.rtf,ma-ma,2,1,1912.9
P25,ma-ma.03.rtf,ma-ma,2,1,2467.5
P27,ma-ma.03.rtf,ma-ma,2,1,1315.4
P28,ma-ma.03.rtf,ma-ma,2,1,210.8
P29,ma-ma.03.rtf,ma-ma,2,1,2941.2
P31,ma-ma.03.rtf,ma-ma,2,1,1270.9
P32,ma-ma.03.rtf,ma-ma,2,1,2753.3
P33,ma-ma.03.rtf,ma-ma,2,1,1417.5
P35,ma-ma.03.rtf,ma-ma,2,1,1408.9
P36,ma-ma.03.rtf,ma-ma,2,1,528.7
P37,ma-ma.03.rtf,ma-ma,2,1,1169
P01,ma-ma.04.rtf,ma-ma,2,1,1348.6
P02,ma-ma.04.rtf,ma-ma,2,1,401.1
P04,ma-ma.04.rtf,ma-ma,2,1,1359.9
P05,ma-ma.04.rtf,ma-ma,2,1,533.4
P06,ma-ma.04.rtf,ma-ma,2,1,1236.9
P07,ma-ma.04.rtf,ma-ma,2,1,1388.3
P08,ma-ma.04.rtf,ma-ma,2,1,1296.6
P09,ma-ma.04.rtf,ma-ma,2,1,1017.3
P10,ma-ma.04.rtf,ma-ma,2,1,836.4
P11,ma-ma.04.rtf,ma-ma,2,1,659.1
P12,ma-ma.04.rtf,ma-ma,2,1,1643.1
P13,ma-ma.04.rtf,ma-ma,2,1,1737
P14,ma-ma.04.rtf,ma-ma,2,1,2850.8
P15,ma-ma.04.rtf,ma-ma,2,1,1887.5
P16,ma-ma.04.rtf,ma-ma,2,1,1316.2
P17,ma-ma.04.rtf,ma-ma,2,1,1100.2
P18,ma-ma.04.rtf,ma-ma,2,1,1139.8
P19,ma-ma.04.rtf,ma-ma,2,1,2034.2
P20,ma-ma.04.rtf,ma-ma,2,1,1202.9
P21,ma-ma.04.rtf,ma-ma,2,1,2928.6
P22,ma-ma.04.rtf,ma-ma,2,1,1887.5
P23,ma-ma.04.rtf,ma-ma,2,1,2780.3
P24,ma-ma.04.rtf,ma-ma,2,1,1989.2
P25,ma-ma.04.rtf,ma-ma,2,1,901.8
P26,ma-ma.04.rtf,ma-ma,2,1,1635.7
P27,ma-ma.04.rtf,ma-ma,2,1,1227.3
P28,ma-ma.04.rtf,ma-ma,2,1,860.6
P29,ma-ma.04.rtf,ma-ma,2,1,1584.9
P30,ma-ma.04.rtf,ma-ma,2,1,1785.9
P31,ma-ma.04.rtf,ma-ma,2,1,958.9
P32,ma-ma.04.rtf,ma-ma,2,1,1427.9
P33,ma-ma.04.rtf,ma-ma,2,1,837
P34,ma-ma.04.rtf,ma-ma,2,1,650.1
P35,ma-ma.04.rtf,ma-ma,2,1,900.8
P36,ma-ma.04.rtf,ma-ma,2,1,489.8
P37,ma-ma.04.rtf,ma-ma,2,1,1608.5
P01,ma-ma.05.rtf,ma-ma,2,1,1287.8
P02,ma-ma.05.rtf,ma-ma,2,1,850.9
P03,ma-ma.05.rtf,ma-ma,2,1,318.1
P04,ma-ma.05.rtf,ma-ma,2,1,1535.3
P05,ma-ma.05.rtf,ma-ma,2,1,905.4
P06,ma-ma.05.rtf,ma-ma,2,1,2216.1
P07,ma-ma.05.rtf,ma-ma,2,1,2298.2
P08,ma-ma.05.rtf,ma-ma,2,1,1496.3
P09,ma-ma.05.rtf,ma-ma,2,1,1096.5
P10,ma-ma.05.rtf,ma-ma,2,1,1295.7
P12,ma-ma.05.rtf,ma-ma,2,1,2435.3
P14,ma-ma.05.rtf,ma-ma,2,1,2680.1
P16,ma-ma.05.rtf,ma-ma,2,1,2552.5
P18,ma-ma.05.rtf,ma-ma,2,1,2219.3
P19,ma-ma.05.rtf,ma-ma,2,1,1286.2
P21,ma-ma.05.rtf,ma-ma,2,1,2244.6
P22,ma-ma.05.rtf,ma-ma,2,1,1354.4
P23,ma-ma.05.rtf,ma-ma,2,1,2753.4
P25,ma-ma.05.rtf,ma-ma,2,1,2400.6
P26,ma-ma.05.rtf,ma-ma,2,1,856
P27,ma-ma.05.rtf,ma-ma,2,1,2694.6
P29,ma-ma.05.rtf,ma-ma,2,1,1858.1
P30,ma-ma.05.rtf,ma-ma,2,1,2000.4
P31,ma-ma.05.rtf,ma-ma,2,1,2313.1
P33,ma-ma.05.rtf,ma-ma,2,1,1824
P34,ma-ma.05.rtf,ma-ma,2,1,2151.7
P35,ma-ma.05.rtf,ma-ma,2,1,1398
P37,ma-ma.05.rtf,ma-ma,2,1,1555.2
P01,ma-ma.06.rtf,ma-ma,2,1,1324
P02,ma-ma.06.rtf,ma-ma,2,1,572.2
P04,ma-ma.06.rtf,ma-ma,2,1,1198.8
P05,ma-ma.06.rtf,ma-ma,2,1,2508.1
P06,ma-ma.06.rtf,ma-ma,2,1,2689.3
P07,ma-ma.06.rtf,ma-ma,2,1,2811.7
P08,ma-ma.06.rtf,ma-ma,2,1,1682
P09,ma-ma.06.rtf,ma-ma,2,1,1070.9
P19,ma-ma.06.rtf,ma-ma,2,1,2632.3
P21,ma-ma.06.rtf,ma-ma,2,1,908
P23,ma-ma.06.rtf,ma-ma,2,1,2188.8
P25,ma-ma.06.rtf,ma-ma,2,1,3227.1
P27,ma-ma.06.rtf,ma-ma,2,1,2870.3
P29,ma-ma.06.rtf,ma-ma,2,1,1876.5
P31,ma-ma.06.rtf,ma-ma,2,1,2034.5
P33,ma-ma.06.rtf,ma-ma,2,1,1114.8
P35,ma-ma.06.rtf,ma-ma,2,1,1027
P37,ma-ma.06.rtf,ma-ma,2,1,1466.9
P01,ma-ma.07.rtf,ma-ma,2,1,3040.5
P02,ma-ma.07.rtf,ma-ma,2,1,1902.1
P03,ma-ma.07.rtf,ma-ma,2,1,670
P04,ma-ma.07.rtf,ma-ma,2,1,1608.5
P05,ma-ma.07.rtf,ma-ma,2,1,880.4
P06,ma-ma.07.rtf,ma-ma,2,1,2229.1
P07,ma-ma.07.rtf,ma-ma,2,1,1300.7
P08,ma-ma.07.rtf,ma-ma,2,1,1335
P09,ma-ma.07.rtf,ma-ma,2,1,244.6
P11,ma-ma.07.rtf,ma-ma,2,1,2014.4
P13,ma-ma.07.rtf,ma-ma,2,1,674.3
P17,ma-ma.07.rtf,ma-ma,2,1,777.6
P19,ma-ma.07.rtf,ma-ma,2,1,2499.3
P20,ma-ma.07.rtf,ma-ma,2,1,1217.1
P21,ma-ma.07.rtf,ma-ma,2,1,1877.8
P23,ma-ma.07.rtf,ma-ma,2,1,1590.6
P24,ma-ma.07.rtf,ma-ma,2,1,2118.6
P25,ma-ma.07.rtf,ma-ma,2,1,689.7
P27,ma-ma.07.rtf,ma-ma,2,1,855.8
P28,ma-ma.07.rtf,ma-ma,2,1,1330.2
P29,ma-ma.07.rtf,ma-ma,2,1,1043.9
P31,ma-ma.07.rtf,ma-ma,2,1,918.9
P32,ma-ma.07.rtf,ma-ma,2,1,2459.8
P33,ma-ma.07.rtf,ma-ma,2,1,753
P35,ma-ma.07.rtf,ma-ma,2,1,1266.7
P36,ma-ma.07.rtf,ma-ma,2,1,1872.3
P37,ma-ma.07.rtf,ma-ma,2,1,919.3
P01,ma-ma.08.rtf,ma-ma,2,1,2425.9
P02,ma-ma.08.rtf,ma-ma,2,1,581.9
P03,ma-ma.08.rtf,ma-ma,2,1,308.1
P04,ma-ma.08.rtf,ma-ma,2,1,1081.4
P05,ma-ma.08.rtf,ma-ma,2,1,807.1
P06,ma-ma.08.rtf,ma-ma,2,1,2684.5
P07,ma-ma.08.rtf,ma-ma,2,1,1116.2
P08,ma-ma.08.rtf,ma-ma,2,1,2127.1
P09,ma-ma.08.rtf,ma-ma,2,1,552.4
