Participant,Stimulus,condition,semantic,RT
P01,ma-ma.01.rtf,ma-ma,1,216
P02,ma-ma.01.rtf,ma-ma,1,361
P03,ma-ma.01.rtf,ma-ma,1,127
P04,ma-ma.01.rtf,ma-ma,1,92
P05,ma-ma.01.rtf,ma-ma,1,0
P06,ma-ma.01.rtf,ma-ma,1,200
P07,ma-ma.01.rtf,ma-ma,1,0
P08,ma-ma.01.rtf,ma-ma,1,371
P09,ma-ma.01.rtf,ma-ma,1,0
P10,ma-ma.01.rtf,ma-ma,1,151
P11,ma-ma.01.rtf,ma-ma,1,239
P12,ma-ma.01.rtf,ma-ma,1,0
P13,ma-ma.01.rtf,ma-ma,1,253
P14,ma-ma.01.rtf,ma-ma,1,0
P15,ma-ma.01.rtf,ma-ma,1,127
P16,ma-ma.01.rtf,ma-ma,1,102
P17,ma-ma.01.rtf,ma-ma,1,156
P18,ma-ma.01.rtf,ma-ma,1,166
P19,ma-ma.01.rtf,ma-ma,1,269
P20,ma-ma.01.rtf,ma-ma,1,0
P21,ma-ma.01.rtf,ma-ma,1,63
P22,ma-ma.01.rtf,ma-ma,1,166
P23,ma-ma.01.rtf,ma-ma,1,130
P24,ma-ma.01.rtf,ma-ma,1,0
P25,ma-ma.01.rtf,ma-ma,1,191
P26,ma-ma.01.rtf,ma-ma,1,146
P27,ma-ma.01.rtf,ma-ma,1,122
P28,ma-ma.01.rtf,ma-ma,1,239
P29,ma-ma.01.rtf,ma-ma,1,53
P30,ma-ma.01.rtf,ma-ma,1,78
P31,ma-ma.01.rtf,ma-ma,1,0
P32,ma-ma.01.rtf,ma-ma,1,141
P33,ma-ma.01.rtf,ma-ma,1,239
P34,ma-ma.01.rtf,ma-ma,1,0
P35,ma-ma.01.rtf,ma-ma,1,87
P36,ma-ma.01.rtf,ma-ma,1,0
P37,ma-ma.01.rtf,ma-ma,1,0
P01,ma-ma.02.rtf,ma-ma,1,130
P02,ma-ma.02.rtf,ma-ma,1,171
P03,ma-ma.02.rtf,ma-ma,1,68
P04,ma-ma.02.rtf,ma-ma,1,0
