Participant,Stimulus,condition,parallel,semantic,RT
P01,ma-ma.01.rtf,ma-ma,2,1,579
P02,ma-ma.01.rtf,ma-ma,2,1,0
P03,ma-ma.01.rtf,ma-ma,2,1,170
P04,ma-ma.01.rtf,ma-ma,2,1,136
P05,ma-ma.01.rtf,ma-ma,2,1,136
P06,ma-ma.01.rtf,ma-ma,2,1,342
P07,ma-ma.01.rtf,ma-ma,2,1,249
P08,ma-ma.01.rtf,ma-ma,2,1,229
P09,ma-ma.01.rtf,ma-ma,2,1,97
P10,ma-ma.01.rtf,ma-ma,2,1,205
P11,ma-ma.01.rtf,ma-ma,2,1,547
P12,ma-ma.01.rtf,ma-ma,2,1,0
P13,ma-ma.01.rtf,ma-ma,2,1,151
P14,ma-ma.01.rtf,ma-ma,2,1,146
P15,ma-ma.01.rtf,ma-ma,2,1,401
P16,ma-ma.01.rtf,ma-ma,2,1,224
P17,ma-ma.01.rtf,ma-ma,2,1,107
P18,ma-ma.01.rtf,ma-ma,2,1,322
P19,ma-ma.01.rtf,ma-ma,2,1,151
P20,ma-ma.01.rtf,ma-ma,2,1,195
P21,ma-ma.01.rtf,ma-ma,2,1,176
P22,ma-ma.01.rtf,ma-ma,2,1,0
P23,ma-ma.01.rtf,ma-ma,2,1,241
P24,ma-ma.01.rtf,ma-ma,2,1,121
P25,ma-ma.01.rtf,ma-ma,2,1,443
P26,ma-ma.01.rtf,ma-ma,2,1,95
P27,ma-ma.01.rtf,ma-ma,2,1,518
P28,ma-ma.01.rtf,ma-ma,2,1,322
P29,ma-ma.01.rtf,ma-ma,2,1,176
P30,ma-ma.01.rtf,ma-ma,2,1,0
P31,ma-ma.01.rtf,ma-ma,2,1,210
P32,ma-ma.01.rtf,ma-ma,2,1,396
P33,ma-ma.01.rtf,ma-ma,2,1,313
P34,ma-ma.01.rtf,ma-ma,2,1,0
P35,ma-ma.01.rtf,ma-ma,2,1,0
P36,ma-ma.01.rtf,ma-ma,2,1,67
P37,ma-ma.01.rtf,ma-ma,2,1,141
P01,ma-ma.02.rtf,ma-ma,2,1,302
