item,subject,condition,semantic,RT
ma-ma.01,1,ma-ma,1,393
ma-ma.01,2,ma-ma,1,322.4
ma-ma.01,3,ma-ma,1,0
ma-ma.01,4,ma-ma,1,705.4
ma-ma.01,5,ma-ma,1,166
ma-ma.01,6,ma-ma,1,171
ma-ma.01,7,ma-ma,1,239
ma-ma.01,8,ma-ma,1,244
ma-ma.01,9,ma-ma,1,0
ma-ma.01,10,ma-ma,1,142
ma-ma.01,11,ma-ma,1,205
ma-ma.01,12,ma-ma,1,303
ma-ma.01,13,ma-ma,1,674.9
ma-ma.01,14,ma-ma,1,264
ma-ma.01,15,ma-ma,1,567.3
ma-ma.01,16,ma-ma,1,234
ma-ma.01,17,ma-ma,1,200
ma-ma.01,18,ma-ma,1,224
ma-ma.01,19,ma-ma,1,117
ma-ma.01,20,ma-ma,1,484
ma-ma.01,21,ma-ma,1,464
ma-ma.01,22,ma-ma,1,226
ma-ma.01,23,ma-ma,1,392.8
ma-ma.01,24,ma-ma,1,261
ma-ma.01,25,ma-ma,1,135
ma-ma.01,26,ma-ma,1,307
ma-ma.01,27,ma-ma,1,274
ma-ma.01,28,ma-ma,1,190
ma-ma.01,29,ma-ma,1,337.5
ma-ma.01,30,ma-ma,1,218
ma-ma.01,31,ma-ma,1,195
ma-ma.01,32,ma-ma,1,919.3
ma-ma.01,33,ma-ma,1,181
ma-ma.01,34,ma-ma,1,0
ma-ma.01,35,ma-ma,1,303
ma-ma.01,36,ma-ma,1,195
ma-ma.01,37,ma-ma,1,391
ma-ma.02,1,ma-ma,1,216
ma-ma.02,2,ma-ma,1,0
ma-ma.02,3,ma-ma,1,220
ma-ma.02,4,ma-ma,1,63
ma-ma.02,5,ma-ma,1,200
ma-ma.02,6,ma-ma,1,659.8
ma-ma.02,7,ma-ma,1,190
ma-ma.02,8,ma-ma,1,1104.8
ma-ma.02,9,ma-ma,1,161
ma-ma.02,10,ma-ma,1,141
ma-ma.02,11,ma-ma,1,469.3
ma-ma.02,12,ma-ma,1,249
ma-ma.02,13,ma-ma,1,234
ma-ma.02,14,ma-ma,1,151
ma-ma.02,15,ma-ma,1,225
ma-ma.02,16,ma-ma,1,728
ma-ma.02,17,ma-ma,1,141
ma-ma.02,18,ma-ma,1,229
ma-ma.02,19,ma-ma,1,156
ma-ma.02,20,ma-ma,1,1051.5
ma-ma.02,21,ma-ma,1,146
ma-ma.02,22,ma-ma,1,216
ma-ma.02,23,ma-ma,1,291
ma-ma.02,24,ma-ma,1,136
ma-ma.02,26,ma-ma,1,563
ma-ma.02,27,ma-ma,1,122
ma-ma.02,28,ma-ma,1,553
ma-ma.02,29,ma-ma,1,206
ma-ma.02,30,ma-ma,1,332
ma-ma.02,31,ma-ma,1,430
ma-ma.02,32,ma-ma,1,278.8
ma-ma.02,33,ma-ma,1,166
ma-ma.02,34,ma-ma,1,151
ma-ma.02,35,ma-ma,1,205
ma-ma.02,36,ma-ma,1,161
ma-ma.02,37,ma-ma,1,166
ma-ma.03,1,ma-ma,1,473
ma-ma.03,2,ma-ma,1,254.3
ma-ma.03,3,ma-ma,1,112
ma-ma.03,4,ma-ma,1,97
ma-ma.03,5,ma-ma,1,288
ma-ma.03,6,ma-ma,1,405.3
ma-ma.03,7,ma-ma,1,170
ma-ma.03,8,ma-ma,1,288
ma-ma.03,9,ma-ma,1,195
ma-ma.03,10,ma-ma,1,200
ma-ma.03,11,ma-ma,1,391
ma-ma.03,12,ma-ma,1,347
ma-ma.03,13,ma-ma,1,117
ma-ma.03,14,ma-ma,1,150
ma-ma.03,15,ma-ma,1,903.2
ma-ma.03,16,ma-ma,1,435
ma-ma.03,17,ma-ma,1,166
ma-ma.03,18,ma-ma,1,298
ma-ma.03,19,ma-ma,1,210
ma-ma.03,20,ma-ma,1,880
ma-ma.03,21,ma-ma,1,249
ma-ma.03,22,ma-ma,1,125
ma-ma.03,23,ma-ma,1,161
ma-ma.03,24,ma-ma,1,523.4
ma-ma.03,25,ma-ma,1,281
ma-ma.03,26,ma-ma,1,805.4
ma-ma.03,27,ma-ma,1,171
ma-ma.03,28,ma-ma,1,503
ma-ma.03,29,ma-ma,1,156
ma-ma.03,30,ma-ma,1,313
ma-ma.03,31,ma-ma,1,215
ma-ma.03,32,ma-ma,1,352
ma-ma.03,33,ma-ma,1,537
ma-ma.03,34,ma-ma,1,210
ma-ma.03,35,ma-ma,1,601.4
ma-ma.03,36,ma-ma,1,0
ma-ma.03,37,ma-ma,1,557.1
ma-ma.04,1,ma-ma,1,815
ma-ma.04,3,ma-ma,1,337
ma-ma.04,4,ma-ma,1,557.6
