item,subject,semantic,condition,RT
ma-ma.01,1,1,ma-ma,216
ma-ma.01,2,1,ma-ma,361.8
ma-ma.01,3,1,ma-ma,127
ma-ma.01,4,1,ma-ma,92
ma-ma.01,5,1,ma-ma,0
ma-ma.01,6,1,ma-ma,200
ma-ma.01,7,1,ma-ma,0
ma-ma.01,8,1,ma-ma,371
ma-ma.01,9,1,ma-ma,0
ma-ma.01,10,1,ma-ma,151
ma-ma.01,11,1,ma-ma,239
ma-ma.01,12,1,ma-ma,0
ma-ma.01,13,1,ma-ma,253
ma-ma.01,14,1,ma-ma,0
ma-ma.01,15,1,ma-ma,127
ma-ma.01,16,1,ma-ma,102
ma-ma.01,17,1,ma-ma,156
ma-ma.01,18,1,ma-ma,166
ma-ma.01,20,1,ma-ma,0
ma-ma.01,21,1,ma-ma,381.4
ma-ma.01,22,1,ma-ma,166
ma-ma.01,23,1,ma-ma,130
ma-ma.01,24,1,ma-ma,0
ma-ma.01,25,1,ma-ma,840.7
ma-ma.01,26,1,ma-ma,146
ma-ma.01,27,1,ma-ma,122
ma-ma.01,28,1,ma-ma,239
ma-ma.01,29,1,ma-ma,53
ma-ma.01,30,1,ma-ma,78
ma-ma.01,31,1,ma-ma,0
ma-ma.01,32,1,ma-ma,1046.5
ma-ma.01,33,1,ma-ma,239
ma-ma.01,34,1,ma-ma,0
ma-ma.01,35,1,ma-ma,87
ma-ma.01,36,1,ma-ma,0
ma-ma.01,37,1,ma-ma,0
ma-ma.02,1,1,ma-ma,417.8
ma-ma.02,2,1,ma-ma,171
ma-ma.02,3,1,ma-ma,68
ma-ma.02,4,1,ma-ma,0
ma-ma.02,5,1,ma-ma,699.4
ma-ma.02,6,1,ma-ma,123
ma-ma.02,7,1,ma-ma,762.7
ma-ma.02,8,1,ma-ma,132
ma-ma.02,9,1,ma-ma,156
ma-ma.02,10,1,ma-ma,225
ma-ma.02,11,1,ma-ma,171
ma-ma.02,12,1,ma-ma,136
ma-ma.02,13,1,ma-ma,337
ma-ma.02,14,1,ma-ma,171
ma-ma.02,15,1,ma-ma,73
ma-ma.02,16,1,ma-ma,293
ma-ma.02,17,1,ma-ma,0
ma-ma.02,18,1,ma-ma,581
ma-ma.02,19,1,ma-ma,151
ma-ma.02,20,1,ma-ma,180
ma-ma.02,21,1,ma-ma,253
ma-ma.02,22,1,ma-ma,105
ma-ma.02,23,1,ma-ma,116
ma-ma.02,24,1,ma-ma,416
ma-ma.02,25,1,ma-ma,342
ma-ma.02,26,1,ma-ma,166
ma-ma.02,27,1,ma-ma,157
ma-ma.02,28,1,ma-ma,0
ma-ma.02,29,1,ma-ma,0
ma-ma.02,30,1,ma-ma,254
ma-ma.02,31,1,ma-ma,208
ma-ma.02,32,1,ma-ma,176
ma-ma.02,33,1,ma-ma,591.5
ma-ma.02,34,1,ma-ma,195
ma-ma.02,35,1,ma-ma,68
ma-ma.02,36,1,ma-ma,0
ma-ma.02,37,1,ma-ma,0
ma-ma.03,1,1,ma-ma,538.8
ma-ma.03,2,1,ma-ma,259.2
ma-ma.03,3,1,ma-ma,0
ma-ma.03,4,1,ma-ma,107
ma-ma.03,5,1,ma-ma,0
ma-ma.03,6,1,ma-ma,112
ma-ma.03,7,1,ma-ma,356.4
ma-ma.03,8,1,ma-ma,357
ma-ma.03,9,1,ma-ma,132
ma-ma.03,10,1,ma-ma,190
ma-ma.03,11,1,ma-ma,234
ma-ma.03,12,1,ma-ma,137
ma-ma.03,13,1,ma-ma,146
ma-ma.03,14,1,ma-ma,161
ma-ma.03,15,1,ma-ma,567.4
ma-ma.03,16,1,ma-ma,195
ma-ma.03,17,1,ma-ma,122
ma-ma.03,18,1,ma-ma,430
ma-ma.03,19,1,ma-ma,137
ma-ma.03,20,1,ma-ma,635.5
ma-ma.03,21,1,ma-ma,0
ma-ma.03,22,1,ma-ma,156
ma-ma.03,23,1,ma-ma,221
ma-ma.03,24,1,ma-ma,714.5
ma-ma.03,25,1,ma-ma,563
ma-ma.03,26,1,ma-ma,563.9
ma-ma.03,27,1,ma-ma,278
ma-ma.03,28,1,ma-ma,0
ma-ma.03,29,1,ma-ma,0
ma-ma.03,30,1,ma-ma,234
ma-ma.03,31,1,ma-ma,440
ma-ma.03,32,1,ma-ma,274
ma-ma.03,33,1,ma-ma,513.7
ma-ma.03,34,1,ma-ma,171
ma-ma.03,35,1,ma-ma,171
ma-ma.03,36,1,ma-ma,0
ma-ma.03,37,1,ma-ma,0
ma-ma.04,1,1,ma-ma,246
ma-ma.04,2,1,ma-ma,899.9
ma-ma.04,3,1,ma-ma,53
ma-ma.04,4,1,ma-ma,220
ma-ma.04,5,1,ma-ma,0
ma-ma.04,6,1,ma-ma,0
ma-ma.04,7,1,ma-ma,141
ma-ma.04,8,1,ma-ma,195
ma-ma.04,9,1,ma-ma,234
ma-ma.04,10,1,ma-ma,317
ma-ma.04,11,1,ma-ma,0
ma-ma.04,12,1,ma-ma,107
ma-ma.04,13,1,ma-ma,259
ma-ma.04,14,1,ma-ma,601.6
ma-ma.04,15,1,ma-ma,73
ma-ma.04,16,1,ma-ma,0
ma-ma.04,17,1,ma-ma,0
ma-ma.04,18,1,ma-ma,553.1
ma-ma.04,19,1,ma-ma,1008.2
ma-ma.04,20,1,ma-ma,0
ma-ma.04,21,1,ma-ma,860.7
ma-ma.04,22,1,ma-ma,0
ma-ma.04,23,1,ma-ma,261
ma-ma.04,24,1,ma-ma,181
ma-ma.04,25,1,ma-ma,437.8
ma-ma.04,26,1,ma-ma,125
ma-ma.04,27,1,ma-ma,127
ma-ma.04,28,1,ma-ma,0
ma-ma.04,29,1,ma-ma,127
ma-ma.04,30,1,ma-ma,0
ma-ma.04,31,1,ma-ma,161
ma-ma.04,32,1,ma-ma,982.7
ma-ma.04,33,1,ma-ma,244
ma-ma.04,34,1,ma-ma,161
ma-ma.04,35,1,ma-ma,0
ma-ma.04,36,1,ma-ma,0
ma-ma.04,37,1,ma-ma,166
ma-ma.05,1,1,ma-ma,689.6
ma-ma.05,2,1,ma-ma,919.6
ma-ma.05,3,1,ma-ma,92
ma-ma.05,4,1,ma-ma,0
ma-ma.05,5,1,ma-ma,151
ma-ma.05,6,1,ma-ma,132
ma-ma.05,7,1,ma-ma,0
ma-ma.05,8,1,ma-ma,215
ma-ma.05,9,1,ma-ma,112
ma-ma.05,10,1,ma-ma,127
ma-ma.05,11,1,ma-ma,249
ma-ma.05,13,1,ma-ma,0
ma-ma.05,14,1,ma-ma,269
ma-ma.05,15,1,ma-ma,190
ma-ma.05,16,1,ma-ma,709
ma-ma.05,17,1,ma-ma,122
ma-ma.05,18,1,ma-ma,259
ma-ma.05,19,1,ma-ma,0
ma-ma.05,20,1,ma-ma,415
ma-ma.05,22,1,ma-ma,216
ma-ma.05,23,1,ma-ma,589
ma-ma.05,24,1,ma-ma,105
ma-ma.05,25,1,ma-ma,271
ma-ma.05,26,1,ma-ma,151
ma-ma.05,27,1,ma-ma,1109.6
ma-ma.05,28,1,ma-ma,802.1
ma-ma.05,29,1,ma-ma,127
ma-ma.05,30,1,ma-ma,166
ma-ma.05,31,1,ma-ma,224
ma-ma.05,32,1,ma-ma,112
ma-ma.05,33,1,ma-ma,136
ma-ma.05,34,1,ma-ma,288
ma-ma.05,35,1,ma-ma,357.1
ma-ma.05,36,1,ma-ma,53
ma-ma.05,37,1,ma-ma,0
ma-ma.06,1,1,ma-ma,216
ma-ma.06,2,1,ma-ma,0
ma-ma.06,3,1,ma-ma,0
ma-ma.06,4,1,ma-ma,83
ma-ma.06,5,1,ma-ma,127
ma-ma.06,6,1,ma-ma,0
ma-ma.06,7,1,ma-ma,166
