item,subject,semantic,parallel,condition,RT
ma-ma.01,1,1,2,ma-ma,579
ma-ma.01,2,1,2,ma-ma,0
ma-ma.01,3,1,2,ma-ma,170
ma-ma.01,4,1,2,ma-ma,136
ma-ma.01,5,1,2,ma-ma,136
ma-ma.01,6,1,2,ma-ma,342
ma-ma.01,7,1,2,ma-ma,249
ma-ma.01,8,1,2,ma-ma,229
ma-ma.01,9,1,2,ma-ma,97
ma-ma.01,10,1,2,ma-ma,205
ma-ma.01,11,1,2,ma-ma,547
ma-ma.01,12,1,2,ma-ma,0
ma-ma.01,13,1,2,ma-ma,151
ma-ma.01,14,1,2,ma-ma,146
ma-ma.01,15,1,2,ma-ma,401
ma-ma.01,16,1,2,ma-ma,224
ma-ma.01,17,1,2,ma-ma,107
ma-ma.01,18,1,2,ma-ma,322
ma-ma.01,19,1,2,ma-ma,151
ma-ma.01,20,1,2,ma-ma,195
ma-ma.01,21,1,2,ma-ma,176
ma-ma.01,22,1,2,ma-ma,0
ma-ma.01,23,1,2,ma-ma,241
ma-ma.01,24,1,2,ma-ma,121
ma-ma.01,25,1,2,ma-ma,443
ma-ma.01,26,1,2,ma-ma,95
ma-ma.01,27,1,2,ma-ma,518
ma-ma.01,28,1,2,ma-ma,322
ma-ma.01,29,1,2,ma-ma,176
ma-ma.01,30,1,2,ma-ma,0
ma-ma.01,31,1,2,ma-ma,210
ma-ma.01,32,1,2,ma-ma,396
ma-ma.01,33,1,2,ma-ma,313
ma-ma.01,34,1,2,ma-ma,0
ma-ma.01,35,1,2,ma-ma,0
ma-ma.01,36,1,2,ma-ma,67
ma-ma.01,37,1,2,ma-ma,141
ma-ma.02,1,1,2,ma-ma,302
ma-ma.02,2,1,2,ma-ma,234
ma-ma.02,3,1,2,ma-ma,273
ma-ma.02,4,1,2,ma-ma,220
ma-ma.02,5,1,2,ma-ma,298
ma-ma.02,7,1,2,ma-ma,146
ma-ma.02,8,1,2,ma-ma,234
ma-ma.02,9,1,2,ma-ma,381
ma-ma.02,10,1,2,ma-ma,342
ma-ma.02,11,1,2,ma-ma,733
ma-ma.02,12,1,2,ma-ma,264
ma-ma.02,13,1,2,ma-ma,547
ma-ma.02,14,1,2,ma-ma,117
ma-ma.02,15,1,2,ma-ma,239
ma-ma.02,16,1,2,ma-ma,474
ma-ma.02,17,1,2,ma-ma,166
ma-ma.02,18,1,2,ma-ma,435
ma-ma.02,19,1,2,ma-ma,327
ma-ma.02,20,1,2,ma-ma,469
ma-ma.02,22,1,2,ma-ma,422
ma-ma.02,23,1,2,ma-ma,493
ma-ma.02,25,1,2,ma-ma,483
ma-ma.02,26,1,2,ma-ma,422
ma-ma.02,27,1,2,ma-ma,807.1
ma-ma.02,28,1,2,ma-ma,268
ma-ma.02,29,1,2,ma-ma,430
ma-ma.02,30,1,2,ma-ma,136
ma-ma.02,31,1,2,ma-ma,249
ma-ma.02,32,1,2,ma-ma,322
ma-ma.02,33,1,2,ma-ma,293
ma-ma.02,34,1,2,ma-ma,264
ma-ma.02,35,1,2,ma-ma,0
ma-ma.02,36,1,2,ma-ma,259
