Participant,Stimulus,condition,semantic,RT
P01,ma-ma.01.rtf,ma-ma,1,438
P02,ma-ma.01.rtf,ma-ma,1,0
P03,ma-ma.01.rtf,ma-ma,1,0
P04,ma-ma.01.rtf,ma-ma,1,235
P05,ma-ma.01.rtf,ma-ma,1,0
P06,ma-ma.01.rtf,ma-ma,1,958
P07,ma-ma.01.rtf,ma-ma,1,0
P08,ma-ma.01.rtf,ma-ma,1,0
P09,ma-ma.01.rtf,ma-ma,1,0
P10,ma-ma.01.rtf,ma-ma,1,0
P11,ma-ma.01.rtf,ma-ma,1,0
P12,ma-ma.01.rtf,ma-ma,1,0
P13,ma-ma.01.rtf,ma-ma,1,210
P14,ma-ma.01.rtf,ma-ma,1,0
P15,ma-ma.01.rtf,ma-ma,1,625
P16,ma-ma.01.rtf,ma-ma,1,122
P17,ma-ma.01.rtf,ma-ma,1,185
P18,ma-ma.01.rtf,ma-ma,1,0
P19,ma-ma.01.rtf,ma-ma,1,225
P20,ma-ma.01.rtf,ma-ma,1,0
P21,ma-ma.01.rtf,ma-ma,1,474
P22,ma-ma.01.rtf,ma-ma,1,181
P23,ma-ma.01.rtf,ma-ma,1,312
P24,ma-ma.01.rtf,ma-ma,1,0
P25,ma-ma.01.rtf,ma-ma,1,231
P26,ma-ma.01.rtf,ma-ma,1,0
P27,ma-ma.01.rtf,ma-ma,1,0
P28,ma-ma.01.rtf,ma-ma,1,293
P29,ma-ma.01.rtf,ma-ma,1,0
P30,ma-ma.01.rtf,ma-ma,1,0
P31,ma-ma.01.rtf,ma-ma,1,278
P32,ma-ma.01.rtf,ma-ma,1,171
P33,ma-ma.01.rtf,ma-ma,1,0
P34,ma-ma.01.rtf,ma-ma,1,0
P35,ma-ma.01.rtf,ma-ma,1,0
P36,ma-ma.01.rtf,ma-ma,1,0
P37,ma-ma.01.rtf,ma-ma,1,0
P01,ma-ma.02.rtf,ma-ma,1,307
P02,ma-ma.02.rtf,ma-ma,1,0
P03,ma-ma.02.rtf,ma-ma,1,157
P04,ma-ma.02.rtf,ma-ma,1,63
P05,ma-ma.02.rtf,ma-ma,1,391
P06,ma-ma.02.rtf,ma-ma,1,391
P07,ma-ma.02.rtf,ma-ma,1,395
P08,ma-ma.02.rtf,ma-ma,1,728
P09,ma-ma.02.rtf,ma-ma,1,176
P10,ma-ma.02.rtf,ma-ma,1,0
P11,ma-ma.02.rtf,ma-ma,1,176
P12,ma-ma.02.rtf,ma-ma,1,963
P13,ma-ma.02.rtf,ma-ma,1,0
P14,ma-ma.02.rtf,ma-ma,1,401
P16,ma-ma.02.rtf,ma-ma,1,0
P17,ma-ma.02.rtf,ma-ma,1,0
P18,ma-ma.02.rtf,ma-ma,1,0
P19,ma-ma.02.rtf,ma-ma,1,127
P20,ma-ma.02.rtf,ma-ma,1,401
P21,ma-ma.02.rtf,ma-ma,1,337
P22,ma-ma.02.rtf,ma-ma,1,302
P23,ma-ma.02.rtf,ma-ma,1,735
P24,ma-ma.02.rtf,ma-ma,1,0
P25,ma-ma.02.rtf,ma-ma,1,573
P26,ma-ma.02.rtf,ma-ma,1,321
P27,ma-ma.02.rtf,ma-ma,1,0
P28,ma-ma.02.rtf,ma-ma,1,210
P30,ma-ma.02.rtf,ma-ma,1,205
P31,ma-ma.02.rtf,ma-ma,1,0
