Participant,Stimulus,condition,parallel,semantic,RT
P01,ma-ma.01.rtf,ma-ma,2,1,417
P02,ma-ma.01.rtf,ma-ma,2,1,0
P03,ma-ma.01.rtf,ma-ma,2,1,0
P04,ma-ma.01.rtf,ma-ma,2,1,366
P05,ma-ma.01.rtf,ma-ma,2,1,0
P06,ma-ma.01.rtf,ma-ma,2,1,376
P07,ma-ma.01.rtf,ma-ma,2,1,0
P08,ma-ma.01.rtf,ma-ma,2,1,0
P09,ma-ma.01.rtf,ma-ma,2,1,0
P10,ma-ma.01.rtf,ma-ma,2,1,0
P11,ma-ma.01.rtf,ma-ma,2,1,0
P12,ma-ma.01.rtf,ma-ma,2,1,0
P13,ma-ma.01.rtf,ma-ma,2,1,0
P14,ma-ma.01.rtf,ma-ma,2,1,723
P15,ma-ma.01.rtf,ma-ma,2,1,117
P16,ma-ma.01.rtf,ma-ma,2,1,0
P17,ma-ma.01.rtf,ma-ma,2,1,220
P18,ma-ma.01.rtf,ma-ma,2,1,0
P19,ma-ma.01.rtf,ma-ma,2,1,0
P20,ma-ma.01.rtf,ma-ma,2,1,0
P21,ma-ma.01.rtf,ma-ma,2,1,513
P22,ma-ma.01.rtf,ma-ma,2,1,0
P23,ma-ma.01.rtf,ma-ma,2,1,317
P24,ma-ma.01.rtf,ma-ma,2,1,261
P25,ma-ma.01.rtf,ma-ma,2,1,0
P26,ma-ma.01.rtf,ma-ma,2,1,482
P27,ma-ma.01.rtf,ma-ma,2,1,0
P28,ma-ma.01.rtf,ma-ma,2,1,176
P29,ma-ma.01.rtf,ma-ma,2,1,0
P30,ma-ma.01.rtf,ma-ma,2,1,0
P31,ma-ma.01.rtf,ma-ma,2,1,98
P32,ma-ma.01.rtf,ma-ma,2,1,396
P33,ma-ma.01.rtf,ma-ma,2,1,0
P34,ma-ma.01.rtf,ma-ma,2,1,0
P35,ma-ma.01.rtf,ma-ma,2,1,0
P36,ma-ma.01.rtf,ma-ma,2,1,0
P37,ma-ma.01.rtf,ma-ma,2,1,268
P01,ma-ma.02.rtf,ma-ma,2,1,558
P02,ma-ma.02.rtf,ma-ma,2,1,1178
P03,ma-ma.02.rtf,ma-ma,2,1,0
P04,ma-ma.02.rtf,ma-ma,2,1,348
P05,ma-ma.02.rtf,ma-ma,2,1,53
P06,ma-ma.02.rtf,ma-ma,2,1,943
P07,ma-ma.02.rtf,ma-ma,2,1,366
P08,ma-ma.02.rtf,ma-ma,2,1,890
P09,ma-ma.02.rtf,ma-ma,2,1,303
P10,ma-ma.02.rtf,ma-ma,2,1,0
P11,ma-ma.02.rtf,ma-ma,2,1,0
P12,ma-ma.02.rtf,ma-ma,2,1,665
P13,ma-ma.02.rtf,ma-ma,2,1,0
P15,ma-ma.02.rtf,ma-ma,2,1,361
P16,ma-ma.02.rtf,ma-ma,2,1,0
P17,ma-ma.02.rtf,ma-ma,2,1,0
P18,ma-ma.02.rtf,ma-ma,2,1,0
P19,ma-ma.02.rtf,ma-ma,2,1,0
P20,ma-ma.02.rtf,ma-ma,2,1,0
P21,ma-ma.02.rtf,ma-ma,2,1,469
P22,ma-ma.02.rtf,ma-ma,2,1,247
P23,ma-ma.02.rtf,ma-ma,2,1,392
P24,ma-ma.02.rtf,ma-ma,2,1,488
P25,ma-ma.02.rtf,ma-ma,2,1,468
P26,ma-ma.02.rtf,ma-ma,2,1,0
P27,ma-ma.02.rtf,ma-ma,2,1,234
P28,ma-ma.02.rtf,ma-ma,2,1,0
P29,ma-ma.02.rtf,ma-ma,2,1,195
P30,ma-ma.02.rtf,ma-ma,2,1,229
P31,ma-ma.02.rtf,ma-ma,2,1,215
P32,ma-ma.02.rtf,ma-ma,2,1,0
P33,ma-ma.02.rtf,ma-ma,2,1,229
P34,ma-ma.02.rtf,ma-ma,2,1,127
P35,ma-ma.02.rtf,ma-ma,2,1,0
P36,ma-ma.02.rtf,ma-ma,2,1,0
P37,ma-ma.02.rtf,ma-ma,2,1,161
P01,ma-ma.03.rtf,ma-ma,2,1,287
P02,ma-ma.03.rtf,ma-ma,2,1,151
P03,ma-ma.03.rtf,ma-ma,2,1,0
P04,ma-ma.03.rtf,ma-ma,2,1,0
P05,ma-ma.03.rtf,ma-ma,2,1,0
P06,ma-ma.03.rtf,ma-ma,2,1,0
P07,ma-ma.03.rtf,ma-ma,2,1,0
P08,ma-ma.03.rtf,ma-ma,2,1,455
P09,ma-ma.03.rtf,ma-ma,2,1,0
P10,ma-ma.03.rtf,ma-ma,2,1,0
P11,ma-ma.03.rtf,ma-ma,2,1,435
P12,ma-ma.03.rtf,ma-ma,2,1,0
P13,ma-ma.03.rtf,ma-ma,2,1,0
P14,ma-ma.03.rtf,ma-ma,2,1,0
P15,ma-ma.03.rtf,ma-ma,2,1,0
P16,ma-ma.03.rtf,ma-ma,2,1,621
P17,ma-ma.03.rtf,ma-ma,2,1,0
P18,ma-ma.03.rtf,ma-ma,2,1,205
P19,ma-ma.03.rtf,ma-ma,2,1,430
P20,ma-ma.03.rtf,ma-ma,2,1,0
P21,ma-ma.03.rtf,ma-ma,2,1,430
P22,ma-ma.03.rtf,ma-ma,2,1,0
P23,ma-ma.03.rtf,ma-ma,2,1,0
P24,ma-ma.03.rtf,ma-ma,2,1,367
P25,ma-ma.03.rtf,ma-ma,2,1,654
P26,ma-ma.03.rtf,ma-ma,2,1,438
P27,ma-ma.03.rtf,ma-ma,2,1,0
P28,ma-ma.03.rtf,ma-ma,2,1,0
P29,ma-ma.03.rtf,ma-ma,2,1,211
P30,ma-ma.03.rtf,ma-ma,2,1,440
P31,ma-ma.03.rtf,ma-ma,2,1,0
P32,ma-ma.03.rtf,ma-ma,2,1,190
P33,ma-ma.03.rtf,ma-ma,2,1,298
P34,ma-ma.03.rtf,ma-ma,2,1,0
P35,ma-ma.03.rtf,ma-ma,2,1,98
P36,ma-ma.03.rtf,ma-ma,2,1,0
P37,ma-ma.03.rtf,ma-ma,2,1,0
P01,ma-ma.04.rtf,ma-ma,2,1,145
