Stimulus,Participant,condition,semantic,RT
ma-ma.01.rtf,P01,ma-ma,1,276.9
ma-ma.01.rtf,P02,ma-ma,1,361.8
ma-ma.01.rtf,P05,ma-ma,1,0
ma-ma.01.rtf,P07,ma-ma,1,0
ma-ma.01.rtf,P09,ma-ma,1,0
ma-ma.01.rtf,P03,ma-ma,1,293.6
ma-ma.01.rtf,P04,ma-ma,1,92.9
ma-ma.01.rtf,P06,ma-ma,1,200.3
ma-ma.01.rtf,P08,ma-ma,1,425.1
ma-ma.01.rtf,P19,ma-ma,1,342.7
ma-ma.01.rtf,P21,ma-ma,1,259.1
ma-ma.01.rtf,P23,ma-ma,1,312.1
ma-ma.01.rtf,P25,ma-ma,1,191.3
ma-ma.01.rtf,P27,ma-ma,1,122.2
ma-ma.01.rtf,P33,ma-ma,1,239.6
ma-ma.01.rtf,P35,ma-ma,1,87.9
ma-ma.01.rtf,P10,ma-ma,1,151.6
ma-ma.01.rtf,P11,ma-ma,1,239.6
ma-ma.01.rtf,P29,ma-ma,1,53.8
ma-ma.01.rtf,P13,ma-ma,1,253.8
ma-ma.01.rtf,P15,ma-ma,1,127.2
ma-ma.01.rtf,P16,ma-ma,1,102.7
ma-ma.01.rtf,P31,ma-ma,1,0
ma-ma.01.rtf,P17,ma-ma,1,156.5
ma-ma.01.rtf,P18,ma-ma,1,166.1
ma-ma.01.rtf,P37,ma-ma,1,0
ma-ma.01.rtf,P22,ma-ma,1,372.4
ma-ma.01.rtf,P26,ma-ma,1,146
ma-ma.01.rtf,P12,ma-ma,1,0
ma-ma.01.rtf,P28,ma-ma,1,239.6
ma-ma.01.rtf,P32,ma-ma,1,440
ma-ma.02.rtf,P01,ma-ma,1,201.1
ma-ma.02.rtf,P02,ma-ma,1,171.1
ma-ma.02.rtf,P05,ma-ma,1,229.8
ma-ma.02.rtf,P06,ma-ma,1,123
ma-ma.02.rtf,P07,ma-ma,1,283.6
ma-ma.02.rtf,P08,ma-ma,1,572.3
ma-ma.01.rtf,P14,ma-ma,1,0
ma-ma.02.rtf,P09,ma-ma,1,156.4
ma-ma.02.rtf,P19,ma-ma,1,151.5
ma-ma.01.rtf,P20,ma-ma,1,0
ma-ma.01.rtf,P24,ma-ma,1,0
ma-ma.02.rtf,P21,ma-ma,1,454.6
ma-ma.02.rtf,P23,ma-ma,1,116.1
ma-ma.02.rtf,P25,ma-ma,1,342.3
ma-ma.02.rtf,P27,ma-ma,1,509.1
ma-ma.02.rtf,P31,ma-ma,1,208.9
ma-ma.02.rtf,P33,ma-ma,1,229.7
ma-ma.02.rtf,P10,ma-ma,1,225
ma-ma.02.rtf,P11,ma-ma,1,171.2
ma-ma.02.rtf,P12,ma-ma,1,136.9
ma-ma.02.rtf,P13,ma-ma,1,337.5
ma-ma.02.rtf,P14,ma-ma,1,870.6
ma-ma.02.rtf,P16,ma-ma,1,293.4
ma-ma.02.rtf,P18,ma-ma,1,581.9
ma-ma.02.rtf,P20,ma-ma,1,180.9
ma-ma.02.rtf,P22,ma-ma,1,105.8
ma-ma.02.rtf,P24,ma-ma,1,416.5
ma-ma.01.rtf,P30,ma-ma,1,78.2
ma-ma.01.rtf,P34,ma-ma,1,0
ma-ma.02.rtf,P26,ma-ma,1,166.1
ma-ma.02.rtf,P30,ma-ma,1,254.3
ma-ma.01.rtf,P36,ma-ma,1,0
ma-ma.02.rtf,P32,ma-ma,1,176.1
ma-ma.02.rtf,P34,ma-ma,1,195.6
ma-ma.03.rtf,P01,ma-ma,1,488.1
ma-ma.02.rtf,P03,ma-ma,1,68.7
ma-ma.02.rtf,P04,ma-ma,1,0
ma-ma.03.rtf,P02,ma-ma,1,220.1
ma-ma.03.rtf,P04,ma-ma,1,234.7
ma-ma.03.rtf,P06,ma-ma,1,356.7
ma-ma.02.rtf,P29,ma-ma,1,0
ma-ma.03.rtf,P07,ma-ma,1,220
ma-ma.03.rtf,P08,ma-ma,1,625.9
ma-ma.03.rtf,P09,ma-ma,1,132
ma-ma.02.rtf,P35,ma-ma,1,68.5
ma-ma.03.rtf,P19,ma-ma,1,137
ma-ma.03.rtf,P23,ma-ma,1,307.1
ma-ma.03.rtf,P27,ma-ma,1,278.7
ma-ma.03.rtf,P31,ma-ma,1,440.1
ma-ma.03.rtf,P33,ma-ma,1,210.4
ma-ma.03.rtf,P35,ma-ma,1,171.1
ma-ma.02.rtf,P37,ma-ma,1,0
ma-ma.03.rtf,P10,ma-ma,1,190.8
ma-ma.03.rtf,P11,ma-ma,1,518.4
ma-ma.03.rtf,P12,ma-ma,1,137
ma-ma.03.rtf,P13,ma-ma,1,146.7
ma-ma.02.rtf,P15,ma-ma,1,73.6
ma-ma.03.rtf,P14,ma-ma,1,606.6
ma-ma.03.rtf,P15,ma-ma,1,376.7
ma-ma.02.rtf,P17,ma-ma,1,0
ma-ma.03.rtf,P16,ma-ma,1,195.6
ma-ma.03.rtf,P17,ma-ma,1,122.3
ma-ma.03.rtf,P18,ma-ma,1,719.6
ma-ma.03.rtf,P20,ma-ma,1,449.7
ma-ma.03.rtf,P22,ma-ma,1,392.6
ma-ma.02.rtf,P28,ma-ma,1,0
ma-ma.03.rtf,P24,ma-ma,1,140.4
ma-ma.02.rtf,P36,ma-ma,1,0
ma-ma.03.rtf,P26,ma-ma,1,468.1
ma-ma.03.rtf,P30,ma-ma,1,371.6
ma-ma.03.rtf,P32,ma-ma,1,274
ma-ma.03.rtf,P34,ma-ma,1,171.1
ma-ma.03.rtf,P03,ma-ma,1,0
ma-ma.04.rtf,P01,ma-ma,1,246.6
