Stimulus,Participant,condition,parallel,semantic,RT
ma-ma.02.rtf,P05,ma-ma,2,1,88
ma-ma.01.rtf,P01,ma-ma,2,1,50.4
ma-ma.01.rtf,P02,ma-ma,2,1,0
ma-ma.01.rtf,P03,ma-ma,2,1,53.9
ma-ma.01.rtf,P04,ma-ma,2,1,0
ma-ma.01.rtf,P05,ma-ma,2,1,0
ma-ma.01.rtf,P06,ma-ma,2,1,0
ma-ma.01.rtf,P07,ma-ma,2,1,0
ma-ma.01.rtf,P08,ma-ma,2,1,0
ma-ma.01.rtf,P09,ma-ma,2,1,0
ma-ma.01.rtf,P19,ma-ma,2,1,0
ma-ma.01.rtf,P21,ma-ma,2,1,0
ma-ma.02.rtf,P06,ma-ma,2,1,132
ma-ma.02.rtf,P27,ma-ma,2,1,83.1
ma-ma.01.rtf,P23,ma-ma,2,1,0
ma-ma.01.rtf,P25,ma-ma,2,1,0
ma-ma.01.rtf,P27,ma-ma,2,1,0
ma-ma.01.rtf,P29,ma-ma,2,1,0
ma-ma.01.rtf,P31,ma-ma,2,1,0
ma-ma.02.rtf,P11,ma-ma,2,1,132
ma-ma.01.rtf,P33,ma-ma,2,1,0
ma-ma.01.rtf,P35,ma-ma,2,1,0
ma-ma.01.rtf,P37,ma-ma,2,1,0
ma-ma.01.rtf,P10,ma-ma,2,1,0
ma-ma.01.rtf,P11,ma-ma,2,1,0
ma-ma.02.rtf,P16,ma-ma,2,1,352
ma-ma.01.rtf,P12,ma-ma,2,1,0
ma-ma.01.rtf,P13,ma-ma,2,1,0
ma-ma.01.rtf,P14,ma-ma,2,1,0
ma-ma.01.rtf,P15,ma-ma,2,1,0
ma-ma.01.rtf,P16,ma-ma,2,1,0
ma-ma.01.rtf,P17,ma-ma,2,1,0
ma-ma.02.rtf,P20,ma-ma,2,1,210.2
ma-ma.01.rtf,P18,ma-ma,2,1,0
ma-ma.01.rtf,P20,ma-ma,2,1,0
ma-ma.02.rtf,P24,ma-ma,2,1,146
ma-ma.01.rtf,P22,ma-ma,2,1,0
ma-ma.01.rtf,P24,ma-ma,2,1,0
ma-ma.01.rtf,P26,ma-ma,2,1,0
ma-ma.01.rtf,P28,ma-ma,2,1,0
ma-ma.01.rtf,P30,ma-ma,2,1,0
ma-ma.01.rtf,P32,ma-ma,2,1,0
ma-ma.01.rtf,P34,ma-ma,2,1,0
ma-ma.01.rtf,P36,ma-ma,2,1,0
ma-ma.03.rtf,P27,ma-ma,2,1,180.9
ma-ma.02.rtf,P01,ma-ma,2,1,0
ma-ma.02.rtf,P02,ma-ma,2,1,0
ma-ma.02.rtf,P03,ma-ma,2,1,0
ma-ma.02.rtf,P04,ma-ma,2,1,0
ma-ma.03.rtf,P33,ma-ma,2,1,106.7
ma-ma.03.rtf,P14,ma-ma,2,1,405.9
ma-ma.03.rtf,P15,ma-ma,2,1,151.6
ma-ma.02.rtf,P07,ma-ma,2,1,0
ma-ma.02.rtf,P08,ma-ma,2,1,0
ma-ma.03.rtf,P20,ma-ma,2,1,230
ma-ma.02.rtf,P09,ma-ma,2,1,0
ma-ma.02.rtf,P19,ma-ma,2,1,0
ma-ma.03.rtf,P24,ma-ma,2,1,271.9
ma-ma.02.rtf,P21,ma-ma,2,1,78.3
ma-ma.02.rtf,P23,ma-ma,2,1,0
ma-ma.02.rtf,P25,ma-ma,2,1,0
ma-ma.02.rtf,P29,ma-ma,2,1,0
ma-ma.02.rtf,P31,ma-ma,2,1,0
ma-ma.02.rtf,P33,ma-ma,2,1,0
ma-ma.03.rtf,P28,ma-ma,2,1,98.4
ma-ma.02.rtf,P35,ma-ma,2,1,0
ma-ma.02.rtf,P37,ma-ma,2,1,0
ma-ma.02.rtf,P10,ma-ma,2,1,0
ma-ma.02.rtf,P12,ma-ma,2,1,0
ma-ma.02.rtf,P13,ma-ma,2,1,0
ma-ma.04.rtf,P07,ma-ma,2,1,224.6
ma-ma.02.rtf,P14,ma-ma,2,1,0
ma-ma.02.rtf,P15,ma-ma,2,1,0
ma-ma.02.rtf,P17,ma-ma,2,1,0
ma-ma.02.rtf,P18,ma-ma,2,1,0
ma-ma.02.rtf,P22,ma-ma,2,1,0
ma-ma.02.rtf,P26,ma-ma,2,1,0
ma-ma.02.rtf,P28,ma-ma,2,1,0
ma-ma.02.rtf,P30,ma-ma,2,1,0
ma-ma.02.rtf,P32,ma-ma,2,1,0
ma-ma.02.rtf,P34,ma-ma,2,1,0
ma-ma.02.rtf,P36,ma-ma,2,1,0
ma-ma.04.rtf,P23,ma-ma,2,1,196.5
ma-ma.03.rtf,P01,ma-ma,2,1,0
ma-ma.04.rtf,P25,ma-ma,2,1,166.8
ma-ma.03.rtf,P02,ma-ma,2,1,0
ma-ma.03.rtf,P03,ma-ma,2,1,0
ma-ma.03.rtf,P04,ma-ma,2,1,0
ma-ma.03.rtf,P05,ma-ma,2,1,0
ma-ma.04.rtf,P27,ma-ma,2,1,136.9
ma-ma.03.rtf,P06,ma-ma,2,1,0
ma-ma.03.rtf,P07,ma-ma,2,1,0
ma-ma.03.rtf,P08,ma-ma,2,1,0
ma-ma.03.rtf,P09,ma-ma,2,1,0
ma-ma.04.rtf,P33,ma-ma,2,1,127.9
ma-ma.03.rtf,P19,ma-ma,2,1,0
ma-ma.03.rtf,P21,ma-ma,2,1,0
ma-ma.03.rtf,P23,ma-ma,2,1,0
ma-ma.03.rtf,P25,ma-ma,2,1,0
ma-ma.03.rtf,P29,ma-ma,2,1,0
ma-ma.03.rtf,P31,ma-ma,2,1,0
ma-ma.03.rtf,P35,ma-ma,2,1,0
ma-ma.03.rtf,P37,ma-ma,2,1,0
ma-ma.03.rtf,P10,ma-ma,2,1,0
ma-ma.03.rtf,P11,ma-ma,2,1,0
ma-ma.03.rtf,P12,ma-ma,2,1,0
ma-ma.03.rtf,P13,ma-ma,2,1,0
ma-ma.04.rtf,P22,ma-ma,2,1,120.8
ma-ma.04.rtf,P24,ma-ma,2,1,156.1
ma-ma.03.rtf,P16,ma-ma,2,1,0
ma-ma.03.rtf,P17,ma-ma,2,1,0
ma-ma.03.rtf,P18,ma-ma,2,1,0
ma-ma.03.rtf,P22,ma-ma,2,1,0
ma-ma.03.rtf,P26,ma-ma,2,1,0
ma-ma.05.rtf,P01,ma-ma,2,1,95.7
ma-ma.03.rtf,P30,ma-ma,2,1,0
ma-ma.03.rtf,P32,ma-ma,2,1,0
ma-ma.03.rtf,P34,ma-ma,2,1,0
ma-ma.03.rtf,P36,ma-ma,2,1,0
ma-ma.04.rtf,P01,ma-ma,2,1,0
ma-ma.04.rtf,P02,ma-ma,2,1,0
ma-ma.04.rtf,P03,ma-ma,2,1,0
ma-ma.04.rtf,P04,ma-ma,2,1,0
ma-ma.04.rtf,P05,ma-ma,2,1,0
ma-ma.04.rtf,P06,ma-ma,2,1,0
ma-ma.04.rtf,P08,ma-ma,2,1,0
ma-ma.04.rtf,P09,ma-ma,2,1,0
ma-ma.05.rtf,P07,ma-ma,2,1,102.7
ma-ma.04.rtf,P19,ma-ma,2,1,0
ma-ma.04.rtf,P21,ma-ma,2,1,0
ma-ma.04.rtf,P29,ma-ma,2,1,0
ma-ma.04.rtf,P31,ma-ma,2,1,0
ma-ma.04.rtf,P35,ma-ma,2,1,0
ma-ma.04.rtf,P37,ma-ma,2,1,0
ma-ma.04.rtf,P10,ma-ma,2,1,0
ma-ma.04.rtf,P11,ma-ma,2,1,0
ma-ma.04.rtf,P12,ma-ma,2,1,0
ma-ma.04.rtf,P13,ma-ma,2,1,0
ma-ma.04.rtf,P14,ma-ma,2,1,0
ma-ma.04.rtf,P15,ma-ma,2,1,0
ma-ma.04.rtf,P16,ma-ma,2,1,0
ma-ma.04.rtf,P17,ma-ma,2,1,0
ma-ma.04.rtf,P18,ma-ma,2,1,0
ma-ma.04.rtf,P20,ma-ma,2,1,0
ma-ma.04.rtf,P26,ma-ma,2,1,0
ma-ma.04.rtf,P28,ma-ma,2,1,0
ma-ma.05.rtf,P27,ma-ma,2,1,484.3
ma-ma.04.rtf,P30,ma-ma,2,1,0
ma-ma.04.rtf,P32,ma-ma,2,1,0
ma-ma.04.rtf,P34,ma-ma,2,1,0
ma-ma.04.rtf,P36,ma-ma,2,1,0
ma-ma.05.rtf,P02,ma-ma,2,1,0
ma-ma.05.rtf,P03,ma-ma,2,1,0
ma-ma.05.rtf,P04,ma-ma,2,1,0
ma-ma.05.rtf,P05,ma-ma,2,1,0
ma-ma.05.rtf,P33,ma-ma,2,1,190.7
ma-ma.05.rtf,P06,ma-ma,2,1,0
ma-ma.05.rtf,P08,ma-ma,2,1,0
ma-ma.05.rtf,P09,ma-ma,2,1,0
ma-ma.05.rtf,P19,ma-ma,2,1,0
ma-ma.05.rtf,P21,ma-ma,2,1,0
ma-ma.05.rtf,P23,ma-ma,2,1,0
ma-ma.05.rtf,P25,ma-ma,2,1,0
ma-ma.05.rtf,P29,ma-ma,2,1,0
ma-ma.05.rtf,P31,ma-ma,2,1,0
ma-ma.05.rtf,P14,ma-ma,2,1,136.9
ma-ma.05.rtf,P35,ma-ma,2,1,0
ma-ma.05.rtf,P37,ma-ma,2,1,0
ma-ma.05.rtf,P10,ma-ma,2,1,0
ma-ma.05.rtf,P11,ma-ma,2,1,0
ma-ma.05.rtf,P12,ma-ma,2,1,0
ma-ma.05.rtf,P13,ma-ma,2,1,0
ma-ma.05.rtf,P15,ma-ma,2,1,0
ma-ma.05.rtf,P20,ma-ma,2,1,0
ma-ma.05.rtf,P22,ma-ma,2,1,0
ma-ma.05.rtf,P24,ma-ma,2,1,0
ma-ma.05.rtf,P26,ma-ma,2,1,0
ma-ma.05.rtf,P16,ma-ma,2,1,533.1
ma-ma.05.rtf,P28,ma-ma,2,1,0
ma-ma.05.rtf,P30,ma-ma,2,1,0
ma-ma.05.rtf,P32,ma-ma,2,1,0
ma-ma.05.rtf,P34,ma-ma,2,1,0
ma-ma.05.rtf,P36,ma-ma,2,1,0
ma-ma.06.rtf,P02,ma-ma,2,1,0
ma-ma.05.rtf,P17,ma-ma,2,1,200.5
ma-ma.06.rtf,P03,ma-ma,2,1,0
ma-ma.06.rtf,P04,ma-ma,2,1,0
ma-ma.06.rtf,P05,ma-ma,2,1,0
ma-ma.06.rtf,P06,ma-ma,2,1,0
ma-ma.06.rtf,P07,ma-ma,2,1,0
ma-ma.06.rtf,P09,ma-ma,2,1,0
ma-ma.06.rtf,P19,ma-ma,2,1,0
ma-ma.06.rtf,P21,ma-ma,2,1,0
ma-ma.06.rtf,P23,ma-ma,2,1,0
ma-ma.06.rtf,P25,ma-ma,2,1,0
ma-ma.06.rtf,P29,ma-ma,2,1,0
ma-ma.06.rtf,P31,ma-ma,2,1,0
ma-ma.06.rtf,P33,ma-ma,2,1,0
ma-ma.06.rtf,P35,ma-ma,2,1,0
ma-ma.06.rtf,P37,ma-ma,2,1,0
ma-ma.06.rtf,P10,ma-ma,2,1,0
ma-ma.05.rtf,P18,ma-ma,2,1,327.8
ma-ma.06.rtf,P01,ma-ma,2,1,130.8
ma-ma.06.rtf,P08,ma-ma,2,1,166.1
ma-ma.06.rtf,P11,ma-ma,2,1,0
ma-ma.06.rtf,P12,ma-ma,2,1,0
ma-ma.06.rtf,P13,ma-ma,2,1,0
ma-ma.06.rtf,P14,ma-ma,2,1,0
ma-ma.06.rtf,P15,ma-ma,2,1,0
ma-ma.06.rtf,P16,ma-ma,2,1,0
ma-ma.06.rtf,P17,ma-ma,2,1,0
ma-ma.06.rtf,P18,ma-ma,2,1,0
ma-ma.06.rtf,P20,ma-ma,2,1,0
ma-ma.06.rtf,P22,ma-ma,2,1,0
ma-ma.06.rtf,P24,ma-ma,2,1,0
ma-ma.06.rtf,P26,ma-ma,2,1,0
ma-ma.06.rtf,P28,ma-ma,2,1,0
ma-ma.06.rtf,P30,ma-ma,2,1,0
ma-ma.06.rtf,P32,ma-ma,2,1,0
ma-ma.06.rtf,P34,ma-ma,2,1,0
ma-ma.06.rtf,P36,ma-ma,2,1,0
ma-ma.07.rtf,P01,ma-ma,2,1,0
ma-ma.06.rtf,P27,ma-ma,2,1,538.3
ma-ma.07.rtf,P02,ma-ma,2,1,0
ma-ma.07.rtf,P04,ma-ma,2,1,0
ma-ma.07.rtf,P03,ma-ma,2,1,269
ma-ma.07.rtf,P05,ma-ma,2,1,0
ma-ma.07.rtf,P06,ma-ma,2,1,0
ma-ma.07.rtf,P07,ma-ma,2,1,0
ma-ma.07.rtf,P08,ma-ma,2,1,0
ma-ma.07.rtf,P09,ma-ma,2,1,0
ma-ma.07.rtf,P19,ma-ma,2,1,0
ma-ma.07.rtf,P21,ma-ma,2,1,117.3
ma-ma.07.rtf,P23,ma-ma,2,1,0
ma-ma.07.rtf,P25,ma-ma,2,1,0
ma-ma.07.rtf,P27,ma-ma,2,1,0
ma-ma.07.rtf,P29,ma-ma,2,1,0
ma-ma.07.rtf,P31,ma-ma,2,1,0
ma-ma.07.rtf,P35,ma-ma,2,1,0
ma-ma.07.rtf,P37,ma-ma,2,1,0
ma-ma.07.rtf,P10,ma-ma,2,1,0
ma-ma.07.rtf,P33,ma-ma,2,1,88.1
ma-ma.07.rtf,P12,ma-ma,2,1,0
ma-ma.07.rtf,P13,ma-ma,2,1,0
ma-ma.07.rtf,P14,ma-ma,2,1,0
ma-ma.07.rtf,P15,ma-ma,2,1,58.7
ma-ma.07.rtf,P17,ma-ma,2,1,0
ma-ma.07.rtf,P18,ma-ma,2,1,0
ma-ma.07.rtf,P22,ma-ma,2,1,0
ma-ma.07.rtf,P24,ma-ma,2,1,0
ma-ma.07.rtf,P26,ma-ma,2,1,0
ma-ma.07.rtf,P11,ma-ma,2,1,200.5
ma-ma.07.rtf,P16,ma-ma,2,1,127.2
ma-ma.07.rtf,P28,ma-ma,2,1,0
ma-ma.07.rtf,P30,ma-ma,2,1,0
ma-ma.07.rtf,P32,ma-ma,2,1,0
ma-ma.07.rtf,P34,ma-ma,2,1,0
ma-ma.07.rtf,P36,ma-ma,2,1,0
ma-ma.08.rtf,P02,ma-ma,2,1,0
ma-ma.08.rtf,P03,ma-ma,2,1,0
ma-ma.07.rtf,P20,ma-ma,2,1,156.5
ma-ma.08.rtf,P04,ma-ma,2,1,0
ma-ma.08.rtf,P05,ma-ma,2,1,0
ma-ma.08.rtf,P07,ma-ma,2,1,0
ma-ma.08.rtf,P08,ma-ma,2,1,0
ma-ma.08.rtf,P09,ma-ma,2,1,0
ma-ma.08.rtf,P19,ma-ma,2,1,0
ma-ma.08.rtf,P21,ma-ma,2,1,0
ma-ma.08.rtf,P23,ma-ma,2,1,0
ma-ma.08.rtf,P27,ma-ma,2,1,0
ma-ma.08.rtf,P29,ma-ma,2,1,0
ma-ma.08.rtf,P31,ma-ma,2,1,0
ma-ma.08.rtf,P33,ma-ma,2,1,0
ma-ma.08.rtf,P35,ma-ma,2,1,0
ma-ma.08.rtf,P01,ma-ma,2,1,100.7
ma-ma.08.rtf,P37,ma-ma,2,1,0
ma-ma.08.rtf,P11,ma-ma,2,1,0
ma-ma.08.rtf,P12,ma-ma,2,1,0
ma-ma.08.rtf,P13,ma-ma,2,1,0
ma-ma.08.rtf,P06,ma-ma,2,1,166.3
ma-ma.08.rtf,P14,ma-ma,2,1,0
ma-ma.08.rtf,P15,ma-ma,2,1,0
ma-ma.08.rtf,P16,ma-ma,2,1,0
ma-ma.08.rtf,P17,ma-ma,2,1,0
ma-ma.08.rtf,P18,ma-ma,2,1,0
ma-ma.08.rtf,P20,ma-ma,2,1,0
ma-ma.08.rtf,P22,ma-ma,2,1,0
ma-ma.08.rtf,P24,ma-ma,2,1,0
ma-ma.08.rtf,P26,ma-ma,2,1,0
ma-ma.08.rtf,P28,ma-ma,2,1,0
ma-ma.08.rtf,P30,ma-ma,2,1,0
ma-ma.08.rtf,P32,ma-ma,2,1,0
ma-ma.08.rtf,P34,ma-ma,2,1,0
ma-ma.08.rtf,P36,ma-ma,2,1,0
ma-ma.09.rtf,P01,ma-ma,2,1,0
ma-ma.09.rtf,P02,ma-ma,2,1,0
ma-ma.09.rtf,P03,ma-ma,2,1,0
ma-ma.09.rtf,P04,ma-ma,2,1,0
ma-ma.09.rtf,P05,ma-ma,2,1,0
ma-ma.09.rtf,P06,ma-ma,2,1,0
ma-ma.09.rtf,P08,ma-ma,2,1,0
ma-ma.09.rtf,P09,ma-ma,2,1,0
ma-ma.09.rtf,P19,ma-ma,2,1,0
ma-ma.09.rtf,P21,ma-ma,2,1,0
ma-ma.09.rtf,P23,ma-ma,2,1,0
ma-ma.09.rtf,P25,ma-ma,2,1,0
ma-ma.09.rtf,P27,ma-ma,2,1,0
ma-ma.09.rtf,P29,ma-ma,2,1,0
ma-ma.09.rtf,P31,ma-ma,2,1,0
ma-ma.09.rtf,P33,ma-ma,2,1,0
ma-ma.09.rtf,P35,ma-ma,2,1,0
ma-ma.09.rtf,P37,ma-ma,2,1,0
ma-ma.09.rtf,P10,ma-ma,2,1,0
ma-ma.09.rtf,P11,ma-ma,2,1,0
ma-ma.09.rtf,P12,ma-ma,2,1,0
ma-ma.09.rtf,P13,ma-ma,2,1,0
ma-ma.08.rtf,P25,ma-ma,2,1,226.6
ma-ma.09.rtf,P14,ma-ma,2,1,0
ma-ma.09.rtf,P16,ma-ma,2,1,0
ma-ma.09.rtf,P17,ma-ma,2,1,0
ma-ma.09.rtf,P18,ma-ma,2,1,0
ma-ma.09.rtf,P22,ma-ma,2,1,75.7
ma-ma.09.rtf,P24,ma-ma,2,1,0
ma-ma.08.rtf,P10,ma-ma,2,1,166.7
ma-ma.09.rtf,P26,ma-ma,2,1,0
ma-ma.09.rtf,P28,ma-ma,2,1,0
ma-ma.09.rtf,P30,ma-ma,2,1,0
ma-ma.09.rtf,P32,ma-ma,2,1,0
ma-ma.09.rtf,P34,ma-ma,2,1,0
ma-ma.09.rtf,P07,ma-ma,2,1,636.4
ma-ma.09.rtf,P36,ma-ma,2,1,0
ma-ma.10.rtf,P01,ma-ma,2,1,0
ma-ma.10.rtf,P02,ma-ma,2,1,0
ma-ma.10.rtf,P04,ma-ma,2,1,0
ma-ma.10.rtf,P06,ma-ma,2,1,0
ma-ma.10.rtf,P09,ma-ma,2,1,0
ma-ma.10.rtf,P19,ma-ma,2,1,0
ma-ma.10.rtf,P21,ma-ma,2,1,0
ma-ma.10.rtf,P23,ma-ma,2,1,0
ma-ma.10.rtf,P25,ma-ma,2,1,0
ma-ma.10.rtf,P27,ma-ma,2,1,0
ma-ma.10.rtf,P29,ma-ma,2,1,0
ma-ma.10.rtf,P31,ma-ma,2,1,0
ma-ma.10.rtf,P33,ma-ma,2,1,0
ma-ma.09.rtf,P15,ma-ma,2,1,151.8
ma-ma.10.rtf,P35,ma-ma,2,1,0
ma-ma.09.rtf,P20,ma-ma,2,1,332.6
ma-ma.10.rtf,P37,ma-ma,2,1,0
ma-ma.10.rtf,P03,ma-ma,2,1,205.4
ma-ma.10.rtf,P05,ma-ma,2,1,92.9
ma-ma.10.rtf,P11,ma-ma,2,1,0
ma-ma.10.rtf,P12,ma-ma,2,1,0
ma-ma.10.rtf,P13,ma-ma,2,1,0
ma-ma.10.rtf,P14,ma-ma,2,1,0
ma-ma.10.rtf,P15,ma-ma,2,1,0
ma-ma.10.rtf,P16,ma-ma,2,1,0
ma-ma.10.rtf,P17,ma-ma,2,1,0
ma-ma.10.rtf,P18,ma-ma,2,1,0
ma-ma.10.rtf,P20,ma-ma,2,1,0
ma-ma.10.rtf,P22,ma-ma,2,1,0
ma-ma.10.rtf,P24,ma-ma,2,1,0
ma-ma.10.rtf,P07,ma-ma,2,1,186.1
ma-ma.10.rtf,P26,ma-ma,2,1,0
ma-ma.10.rtf,P28,ma-ma,2,1,0
ma-ma.10.rtf,P30,ma-ma,2,1,0
ma-ma.10.rtf,P32,ma-ma,2,1,0
ma-ma.10.rtf,P08,ma-ma,2,1,161.4
ma-ma.10.rtf,P34,ma-ma,2,1,0
ma-ma.10.rtf,P36,ma-ma,2,1,0
ma-ma.11.rtf,P02,ma-ma,2,1,0
ma-ma.11.rtf,P04,ma-ma,2,1,0
ma-ma.11.rtf,P05,ma-ma,2,1,0
ma-ma.11.rtf,P06,ma-ma,2,1,0
ma-ma.10.rtf,P10,ma-ma,2,1,132
ma-ma.11.rtf,P07,ma-ma,2,1,0
ma-ma.11.rtf,P19,ma-ma,2,1,0
ma-ma.11.rtf,P21,ma-ma,2,1,0
ma-ma.11.rtf,P23,ma-ma,2,1,60.4
ma-ma.11.rtf,P25,ma-ma,2,1,0
ma-ma.11.rtf,P29,ma-ma,2,1,0
ma-ma.11.rtf,P01,ma-ma,2,1,211.4
ma-ma.11.rtf,P31,ma-ma,2,1,0
ma-ma.11.rtf,P33,ma-ma,2,1,0
ma-ma.11.rtf,P35,ma-ma,2,1,0
ma-ma.11.rtf,P37,ma-ma,2,1,0
ma-ma.11.rtf,P10,ma-ma,2,1,0
ma-ma.11.rtf,P11,ma-ma,2,1,0
ma-ma.11.rtf,P12,ma-ma,2,1,0
ma-ma.11.rtf,P13,ma-ma,2,1,0
ma-ma.11.rtf,P15,ma-ma,2,1,0
ma-ma.11.rtf,P16,ma-ma,2,1,0
ma-ma.11.rtf,P17,ma-ma,2,1,0
ma-ma.11.rtf,P18,ma-ma,2,1,0
ma-ma.11.rtf,P20,ma-ma,2,1,0
ma-ma.11.rtf,P22,ma-ma,2,1,0
ma-ma.11.rtf,P24,ma-ma,2,1,0
ma-ma.11.rtf,P26,ma-ma,2,1,0
ma-ma.11.rtf,P28,ma-ma,2,1,0
ma-ma.11.rtf,P30,ma-ma,2,1,0
ma-ma.11.rtf,P03,ma-ma,2,1,224.9
ma-ma.11.rtf,P32,ma-ma,2,1,0
ma-ma.11.rtf,P34,ma-ma,2,1,0
ma-ma.11.rtf,P36,ma-ma,2,1,0
ma-ma.12.rtf,P01,ma-ma,2,1,60.4
ma-ma.12.rtf,P02,ma-ma,2,1,0
ma-ma.12.rtf,P03,ma-ma,2,1,0
ma-ma.12.rtf,P04,ma-ma,2,1,0
